Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,12.99,13.4,12.43,13.19,13.19,2850200
2016-01-05,13.32,13.35,12.4,12.44,12.44,2102000
2016-01-06,12.24,12.41,11.76,12.13,12.13,1539400
2016-01-07,11.91,12.5,11.62,12.26,12.26,2605800
2016-01-08,12.36,12.76,12.05,12.61,12.61,2424100
2016-01-11,12.76,12.97,10.0,11.42,11.42,6717200
2016-01-12,11.47,12.51,11.31,12.14,12.14,2314900
2016-01-13,12.11,13.24,12.08,12.65,12.65,3080600
2016-01-14,12.56,13.1,12.11,12.6,12.6,2290900
2016-01-15,12.31,12.94,12.0,12.85,12.85,2296600
2016-01-19,12.96,13.15,12.18,12.74,12.74,2180100
2016-01-20,12.36,12.54,11.23,12.29,12.29,2876200
2016-01-21,12.25,13.3,11.95,12.99,12.99,1915900
2016-01-22,13.0,13.45,12.26,12.76,12.76,2598900
2016-01-25,12.59,12.9,12.26,12.45,12.45,1252100
2016-01-26,12.43,12.55,11.57,11.88,11.88,1790100
2016-01-27,11.76,11.88,10.97,11.06,11.06,1781700
2016-01-28,11.17,11.35,10.1,10.26,10.26,2896100
2016-01-29,10.25,10.84,10.05,10.69,10.69,1910000
2016-02-01,10.49,10.56,9.9,10.19,10.19,2030000
2016-02-02,10.12,13.98,9.96,12.67,12.67,8617600
2016-02-03,12.28,12.97,11.26,12.37,12.37,3885600
2016-02-04,10.58,11.11,9.54,9.63,9.63,8865700
2016-02-05,9.71,9.87,9.13,9.21,9.21,2293500
2016-02-08,9.06,9.06,8.2,9.01,9.01,2436500
2016-02-09,8.76,9.73,8.59,9.45,9.45,1670600
2016-02-10,9.46,9.97,8.78,8.78,8.78,1880200
2016-02-11,8.67,9.1,8.42,8.94,8.94,1268600
2016-02-12,9.04,9.1,8.47,8.81,8.81,1422500
2016-02-16,8.89,9.03,8.52,8.9,8.9,1395300
2016-02-17,9.04,9.26,8.83,9.14,9.14,1505900
2016-02-18,9.13,9.14,8.25,8.27,8.27,1509500
2016-02-19,8.26,8.34,8.0,8.06,8.06,1360200
2016-02-22,8.06,9.08,8.06,8.82,8.82,2000900
2016-02-23,8.79,9.17,8.64,8.69,8.69,873800
2016-02-24,8.84,8.84,8.4,8.69,8.69,1056600
2016-02-25,8.67,8.81,8.4,8.6,8.6,661000
2016-02-26,8.66,8.81,8.31,8.69,8.69,1059600
2016-02-29,8.68,8.78,8.25,8.29,8.29,1165200
2016-03-01,8.35,8.54,8.15,8.47,8.47,898400
2016-03-02,8.48,8.85,8.22,8.81,8.81,1243200
2016-03-03,8.75,8.9,8.59,8.72,8.72,836200
2016-03-04,8.91,8.92,8.54,8.71,8.71,1633900
2016-03-07,8.64,8.97,8.44,8.72,8.72,1382100
2016-03-08,8.65,9.1,8.51,8.54,8.54,1933800
2016-03-09,8.53,8.66,8.17,8.43,8.43,1152100
2016-03-10,8.42,8.61,7.77,7.87,7.87,1083600
2016-03-11,7.94,7.94,7.5,7.83,7.83,1177800
2016-03-14,7.85,8.27,7.84,8.15,8.15,802600
2016-03-15,8.14,8.18,7.79,7.87,7.87,1033100
2016-03-16,7.84,8.25,7.84,8.22,8.22,769100
2016-03-17,8.2,8.37,7.94,8.24,8.24,1056500
2016-03-18,8.31,8.66,8.15,8.35,8.35,1492600
2016-03-21,8.41,8.73,8.27,8.53,8.53,1032900
2016-03-22,8.48,8.59,7.98,8.06,8.06,1776300
2016-03-23,8.09,8.09,7.7,7.74,7.74,1053000
2016-03-24,7.7,8.3,7.55,8.21,8.21,1062600
2016-03-28,8.19,8.33,7.95,7.97,7.97,673700
2016-03-29,7.97,8.66,7.91,8.65,8.65,1036300
2016-03-30,8.72,9.4,8.66,8.72,8.72,1536700
2016-03-31,8.78,9.1,8.33,8.5,8.5,2069300
2016-04-01,8.41,9.4,8.4,9.35,9.35,1912300
2016-04-04,9.4,9.49,9.2,9.25,9.25,1291900
2016-04-05,9.16,9.39,9.06,9.31,9.31,919900
2016-04-06,9.3,10.05,9.24,10.0,10.0,1242500
2016-04-07,9.82,9.96,9.13,9.2,9.2,2342300
2016-04-08,9.34,9.45,8.73,8.85,8.85,1351100
2016-04-11,8.89,9.14,8.74,8.89,8.89,1146700
2016-04-12,8.94,8.95,8.57,8.75,8.75,707700
2016-04-13,8.84,9.06,8.7,8.86,8.86,905600
2016-04-14,8.91,9.0,8.73,8.74,8.74,636400
2016-04-15,8.9,8.9,8.7,8.73,8.73,1732800
2016-04-18,8.68,9.13,8.43,9.1,9.1,1558400
2016-04-19,8.99,9.02,8.39,8.68,8.68,1882800
2016-04-20,8.63,9.43,8.51,9.07,9.07,2242700
2016-04-21,9.02,9.23,8.94,8.99,8.99,1454700
2016-04-22,9.6,10.75,9.41,10.72,10.72,5555000
2016-04-25,10.63,10.7,10.02,10.4,10.4,1773000
2016-04-26,10.21,10.4,10.03,10.37,10.37,1572100
2016-04-27,10.3,10.63,10.17,10.55,10.55,1650700
2016-04-28,10.48,10.66,10.28,10.32,10.32,1149000
2016-04-29,10.34,10.36,9.64,9.65,9.65,1448600
2016-05-02,9.53,10.1,9.5,9.72,9.72,1375500
2016-05-03,9.51,9.71,8.77,8.87,8.87,1618800
2016-05-04,8.82,8.87,8.3,8.47,8.47,1671300
2016-05-05,8.5,8.7,8.43,8.61,8.61,1135000
2016-05-06,8.51,8.76,8.41,8.7,8.7,1013600
2016-05-09,8.66,8.89,8.62,8.83,8.83,1195900
2016-05-10,8.65,8.89,8.6,8.85,8.85,877700
2016-05-11,8.79,9.51,8.7,9.08,9.08,1385700
