Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,3.47,3.5,3.4,3.46,3.3557010000000003,2144200
2016-01-05,3.46,3.53,3.44,3.46,3.3557010000000003,2004600
2016-01-06,3.41,3.46,3.35,3.39,3.287811,2546300
2016-01-07,3.31,3.36,3.25,3.27,3.1714279999999997,2688700
2016-01-08,3.27,3.33,3.26,3.26,3.16173,2227600
2016-01-11,3.25,3.26,2.95,3.12,3.02595,4123100
2016-01-12,3.12,3.21,3.02,3.17,3.074443,2783600
2016-01-13,3.16,3.2,3.05,3.08,2.987155,2635100
2016-01-14,3.08,3.18,3.03,3.16,3.0647439999999997,2014700
2016-01-15,3.06,3.1,3.01,3.1,3.006552,1848400
2016-01-19,3.1,3.15,2.94,3.02,2.928964,1926600
2016-01-20,2.95,3.05,2.83,3.03,2.938663,2513000
2016-01-21,3.05,3.2,2.99,3.08,2.987155,2979400
2016-01-22,3.12,3.28,3.11,3.21,3.113237,2789400
2016-01-25,3.18,3.23,3.13,3.13,3.0356490000000003,1999400
2016-01-26,3.09,3.23,3.06,3.22,3.122936,2094900
2016-01-27,3.2,3.26,3.04,3.06,2.9677580000000003,1578200
2016-01-28,3.09,3.09,2.95,3.05,2.9580599999999997,1614100
2016-01-29,3.05,3.17,3.02,3.14,3.045347,2262200
2016-02-01,3.1,3.18,3.05,3.15,3.055046,2028000
2016-02-02,2.79,2.95,2.71,2.75,2.667103,3216600
2016-02-03,2.74,2.82,2.58,2.8,2.715596,2842500
2016-02-04,2.79,2.92,2.6,2.85,2.764089,2547100
2016-02-05,2.85,2.96,2.83,2.92,2.831979,2695700
2016-02-08,2.86,3.01,2.84,2.96,2.870773,2068600
2016-02-09,2.89,3.01,2.89,2.91,2.82228,2398300
2016-02-10,2.92,3.05,2.91,2.92,2.831979,1511100
2016-02-11,2.82,3.0,2.79,2.88,2.793185,1490600
2016-02-12,2.87,2.96,2.86,2.92,2.831979,1163600
2016-02-16,2.93,3.06,2.88,3.06,2.9677580000000003,1980900
2016-02-17,3.06,3.12,2.99,3.02,2.928964,1273100
2016-02-18,3.0,3.09,2.98,3.05,2.9580599999999997,1897900
2016-02-19,3.02,3.11,2.94,3.11,3.016251,1121500
2016-02-22,3.13,3.17,2.98,3.0,2.909567,1795300
2016-02-23,3.2,3.57,2.98,2.98,2.89017,4890500
2016-02-24,2.95,3.03,2.8,3.03,2.938663,3801900
2016-02-25,3.01,3.06,2.92,2.99,2.899868,3336900
2016-02-26,2.98,3.02,2.91,2.93,2.8416770000000002,4794900
2016-02-29,2.91,3.04,2.86,3.01,2.919266,4207300
2016-03-01,3.02,3.16,2.95,3.14,3.045347,2282800
2016-03-02,3.06,3.16,3.03,3.11,3.065058,3192700
2016-03-03,3.1,3.49,3.1,3.42,3.370578,5212100
2016-03-04,3.41,3.45,3.31,3.38,3.3311559999999996,3625400
