Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.43,5.5,4.99,5.03,5.03,424200
2016-01-05,4.88,5.15,4.74,4.78,4.78,432000
2016-01-06,4.73,4.73,4.37,4.56,4.56,687900
2016-01-07,4.44,4.47,4.1,4.11,4.11,594800
2016-01-08,4.2,4.5,3.57,3.82,3.82,806400
2016-01-11,3.82,3.93,3.44,3.54,3.54,515400
2016-01-12,3.61,3.77,3.22,3.32,3.32,530000
2016-01-13,3.33,3.5,2.96,2.98,2.98,846800
2016-01-14,3.01,3.31,2.91,3.19,3.19,1002600
2016-01-15,3.03,3.12,2.81,3.07,3.07,565100
2016-01-19,3.13,3.18,2.88,2.95,2.95,396100
2016-01-20,2.88,3.2,2.65,3.11,3.11,629500
2016-01-21,3.12,3.43,3.07,3.13,3.13,794900
2016-01-22,3.2,3.3,3.08,3.14,3.14,488900
2016-01-25,3.16,3.29,3.09,3.19,3.19,628700
2016-01-26,3.53,3.6,3.13,3.24,3.24,2182100
2016-01-27,3.24,3.32,2.99,3.12,3.12,794100
2016-01-28,3.24,3.25,3.04,3.15,3.15,554300
2016-01-29,3.14,3.38,3.14,3.37,3.37,484100
2016-02-01,3.33,3.46,3.21,3.35,3.35,438300
2016-02-02,3.31,3.37,3.13,3.2,3.2,374400
2016-02-03,3.24,3.35,3.1,3.3,3.3,324300
2016-02-04,3.54,4.19,3.42,3.59,3.59,1789700
2016-02-05,3.56,3.56,3.25,3.29,3.29,750400
2016-02-08,3.2,3.25,2.89,2.96,2.96,640700
2016-02-09,2.9,3.02,2.67,2.68,2.68,976300
2016-02-10,2.7,2.98,2.6,2.75,2.75,452400
2016-02-11,2.68,2.77,2.64,2.65,2.65,452100
2016-02-12,2.72,2.73,2.56,2.7,2.7,422200
2016-02-16,2.79,3.16,2.73,3.09,3.09,508000
2016-02-17,3.14,3.43,3.1,3.36,3.36,505500
2016-02-18,3.5,3.5,3.14,3.29,3.29,693600
2016-02-19,3.26,3.26,3.04,3.13,3.13,515400
2016-02-22,3.18,3.41,3.13,3.36,3.36,475900
2016-02-23,3.33,3.68,3.31,3.54,3.54,608900
2016-02-24,3.5,3.5,3.2,3.38,3.38,458600
2016-02-25,3.4,3.42,3.18,3.34,3.34,356400
2016-02-26,3.38,3.5,3.32,3.35,3.35,241800
2016-02-29,3.4,3.43,3.25,3.27,3.27,318100
2016-03-01,3.33,3.4,3.15,3.34,3.34,313200
2016-03-02,3.33,3.64,3.25,3.6,3.6,455400
2016-03-03,3.63,3.98,3.61,3.96,3.96,713600
2016-03-04,3.98,4.5,3.97,4.04,4.04,689300
2016-03-07,4.04,4.83,4.0,4.6,4.6,1217800
2016-03-08,4.52,4.9,4.22,4.27,4.27,1146500
2016-03-09,4.3,4.41,3.81,3.93,3.93,723500
2016-03-10,3.93,4.04,3.72,3.84,3.84,318500
2016-03-11,3.91,4.45,3.88,4.3,4.3,656400
2016-03-14,4.27,4.69,4.17,4.6,4.6,659200
2016-03-15,4.3,4.55,3.9,4.17,4.17,1040500
2016-03-16,4.16,4.4,4.0,4.18,4.18,476300
2016-03-17,4.19,4.3,4.01,4.26,4.26,571000
2016-03-18,4.36,4.59,4.16,4.51,4.51,693000
2016-03-21,4.45,6.17,4.43,5.19,5.19,2971500
2016-03-22,5.48,5.58,4.74,4.86,4.86,2770700
2016-03-23,5.01,5.28,4.88,5.1,5.1,1602900
2016-03-24,5.04,5.28,4.76,5.15,5.15,844100
2016-03-28,5.25,5.34,4.96,5.03,5.03,724400
2016-03-29,4.99,5.38,4.85,5.31,5.31,583000
2016-03-30,5.4,5.48,5.13,5.21,5.21,455500
2016-03-31,5.21,6.02,5.21,5.52,5.52,1613500
2016-04-01,5.4,6.18,5.33,6.14,6.14,1105200
2016-04-04,6.2,6.93,6.1,6.52,6.52,1520100
2016-04-05,6.4,7.06,6.25,6.66,6.66,1107100
2016-04-06,6.7,7.52,6.7,7.23,7.23,1443200
2016-04-07,7.21,7.75,6.6,6.82,6.82,1078300
2016-04-08,6.93,6.99,6.2,6.34,6.34,1192700
2016-04-11,6.4,6.63,6.27,6.45,6.45,578500
2016-04-12,6.46,6.82,6.36,6.42,6.42,624000
2016-04-13,6.48,6.62,6.27,6.55,6.55,457200
2016-04-14,6.6,6.63,6.33,6.42,6.42,299900
2016-04-15,6.42,6.72,6.37,6.57,6.57,305500
2016-04-18,6.5,6.84,6.44,6.74,6.74,365900
2016-04-19,6.78,6.92,6.58,6.76,6.76,491200
2016-04-20,6.81,7.01,6.61,6.7,6.7,441400
2016-04-21,6.71,6.88,6.61,6.79,6.79,386600
2016-04-22,6.79,7.29,6.75,7.22,7.22,580600
2016-04-25,7.2,7.32,6.8,6.91,6.91,1012800
2016-04-26,7.68,7.75,6.84,7.0,7.0,4348700
2016-04-27,6.99,7.07,6.38,6.61,6.61,1130800
2016-04-28,6.57,6.85,6.33,6.36,6.36,695000
2016-04-29,6.32,6.53,5.86,6.01,6.01,1057700
2016-05-02,6.05,6.18,5.68,6.15,6.15,953000
2016-05-03,6.09,6.19,5.95,5.97,5.97,492300
2016-05-04,5.85,6.11,5.54,5.67,5.67,664600
2016-05-05,5.69,5.92,5.61,5.68,5.68,513400
2016-05-06,5.47,5.85,5.16,5.41,5.41,920000
2016-05-09,5.32,5.63,5.32,5.52,5.52,450000
2016-05-10,5.56,5.82,5.5,5.81,5.81,787600
2016-05-11,5.61,6.45,5.61,6.09,6.09,1181100
2016-05-12,6.12,6.18,5.47,5.49,5.49,657900
2016-05-13,5.5,5.79,5.46,5.66,5.66,359700
2016-05-16,5.74,6.12,5.65,6.09,6.09,481200
2016-05-17,6.07,6.33,5.99,6.05,6.05,670800
2016-05-18,6.29,6.56,6.05,6.17,6.17,1296900
2016-05-19,6.12,6.15,5.7,5.91,5.91,618200
2016-05-20,5.94,6.26,5.88,6.16,6.16,573700
2016-05-23,6.23,6.4,6.2,6.26,6.26,413500
2016-05-24,6.3,6.5,6.13,6.38,6.38,370800
2016-05-25,6.45,6.53,6.23,6.31,6.31,764400
2016-05-26,6.34,6.35,6.12,6.21,6.21,372300
2016-05-27,6.26,6.89,6.21,6.83,6.83,939200
2016-05-31,7.0,7.35,7.0,7.13,7.13,1342200
2016-06-01,7.12,7.3,6.88,7.2,7.2,568500
2016-06-02,7.17,7.66,7.07,7.56,7.56,822400
2016-06-03,7.58,7.58,7.21,7.39,7.39,551200
2016-06-06,7.4,7.5,7.16,7.46,7.46,374900
2016-06-07,7.35,7.45,7.26,7.3,7.3,299500
2016-06-08,7.3,7.5,7.19,7.4,7.4,370700
2016-06-09,7.38,7.45,7.06,7.1,7.1,425900
2016-06-10,7.02,7.02,6.6,6.7,6.7,475300
2016-06-13,6.61,6.99,6.52,6.52,6.52,358700
2016-06-14,6.5,6.72,6.23,6.46,6.46,392100
2016-06-15,6.52,6.91,6.48,6.56,6.56,320300
2016-06-16,6.5,6.59,6.06,6.44,6.44,503900
2016-06-17,6.4,6.48,5.98,6.01,6.01,538600
2016-06-20,6.1,6.39,5.92,6.14,6.14,302300
2016-06-21,6.16,6.18,5.88,6.13,6.13,391600
2016-06-22,6.15,6.3,5.93,5.97,5.97,407800
2016-06-23,6.06,6.28,5.93,6.24,6.24,619900
2016-06-24,6.0,6.13,5.75,6.12,6.12,1255000
2016-06-27,5.98,6.12,5.76,5.86,5.86,657000
2016-06-28,5.96,6.26,5.95,6.07,6.07,544700
2016-06-29,6.16,6.52,6.02,6.49,6.49,514600
2016-06-30,6.5,6.61,6.18,6.32,6.32,582800
2016-07-01,6.33,6.71,6.29,6.46,6.46,398400
2016-07-05,6.41,6.56,6.29,6.45,6.45,255100
2016-07-06,6.41,6.7,6.37,6.58,6.58,430700
2016-07-07,6.62,6.8,6.43,6.69,6.69,323200
2016-07-08,6.73,7.05,6.7,7.0,7.0,422700
2016-07-11,7.06,7.08,6.87,6.89,6.89,246900
2016-07-12,6.98,7.13,6.87,7.03,7.03,237600
2016-07-13,7.12,7.15,6.81,6.91,6.91,278300
2016-07-14,6.98,6.98,6.71,6.79,6.79,215700
2016-07-15,6.8,6.89,6.68,6.74,6.74,273400
2016-07-18,6.76,6.84,6.67,6.7,6.7,301500
2016-07-19,6.7,6.76,6.36,6.47,6.47,446300
2016-07-20,6.49,6.85,6.4,6.76,6.76,524700
2016-07-21,6.75,6.82,6.51,6.57,6.57,349700
2016-07-22,6.55,6.59,6.34,6.52,6.52,376700
2016-07-25,6.54,6.57,6.35,6.45,6.45,341200
2016-07-26,6.44,6.54,6.35,6.48,6.48,421200
2016-07-27,6.5,6.85,6.46,6.85,6.85,688200
2016-07-28,6.81,7.37,6.79,7.34,7.34,608500
2016-07-29,7.33,7.72,7.2,7.59,7.59,909200
2016-08-01,7.61,7.72,7.36,7.5,7.5,544100
2016-08-02,7.44,7.74,7.43,7.62,7.62,578700
2016-08-03,7.7,8.5,7.57,8.0,8.0,1506100
2016-08-04,8.15,8.2,7.79,7.97,7.97,970100
2016-08-05,8.7,8.94,8.33,8.46,8.46,2037700
2016-08-08,8.54,8.65,8.42,8.55,8.55,1047100
2016-08-09,8.5,9.49,8.5,9.22,9.22,1682100
2016-08-10,9.27,9.45,9.13,9.3,9.3,1104200
2016-08-11,9.37,9.39,8.93,8.96,8.96,1754900
2016-08-12,8.99,9.65,8.99,9.49,9.49,1161600
2016-08-15,9.52,9.65,9.3,9.41,9.41,791200
2016-08-16,9.75,9.75,8.96,8.98,8.98,2093300
2016-08-17,8.99,9.06,8.68,8.96,8.96,847900
2016-08-18,8.91,9.22,8.79,9.05,9.05,909000
2016-08-19,9.13,9.25,8.81,9.11,9.11,1125000
2016-08-22,9.16,9.29,8.96,9.25,9.25,777400
2016-08-23,9.25,9.55,9.14,9.41,9.41,689400
2016-08-24,9.41,9.44,8.94,9.07,9.07,1157900
2016-08-25,9.0,9.28,8.94,9.04,9.04,861600
2016-08-26,9.09,9.19,8.9,9.07,9.07,602900
2016-08-29,9.08,9.43,9.01,9.36,9.36,845400
2016-08-30,9.4,9.44,9.14,9.23,9.23,630100
2016-08-31,9.17,9.19,8.62,8.87,8.87,808300
2016-09-01,8.92,9.03,8.73,8.92,8.92,503500
2016-09-02,9.04,9.04,8.71,8.81,8.81,377800
2016-09-06,9.0,9.25,8.96,9.25,9.25,680900
2016-09-07,9.33,9.33,9.04,9.28,9.28,770700
2016-09-08,9.27,9.9,9.22,9.8,9.8,1121200
2016-09-09,9.79,9.86,9.1,9.13,9.13,753700
2016-09-12,8.91,9.22,8.6,9.21,9.21,702700
2016-09-13,9.15,9.2,8.67,8.8,8.8,657600
2016-09-14,8.87,9.1,8.81,8.99,8.99,561200
2016-09-15,8.94,9.16,8.89,9.16,9.16,588700
2016-09-16,9.08,9.35,9.07,9.19,9.19,512800
2016-09-19,9.24,9.42,9.07,9.17,9.17,433000
2016-09-20,9.21,9.33,9.07,9.12,9.12,325900
2016-09-21,9.14,9.22,8.83,9.13,9.13,542900
2016-09-22,9.22,9.49,9.13,9.41,9.41,827000
2016-09-23,9.4,9.71,9.22,9.28,9.28,763400
2016-09-26,9.28,9.33,8.9,8.93,8.93,601100
2016-09-27,8.94,9.21,8.92,9.1,9.1,618400
2016-09-28,9.08,9.48,9.04,9.39,9.39,732000
2016-09-29,9.35,9.4,8.9,8.91,8.91,670800
2016-09-30,9.0,9.39,8.9,9.36,9.36,843000
2016-10-03,9.36,10.73,9.31,10.39,10.39,2669500
2016-10-04,10.43,10.58,10.11,10.3,10.3,1075700
2016-10-05,10.39,10.5,9.82,10.04,10.04,1006000
2016-10-06,10.07,10.08,9.47,9.66,9.66,868000
2016-10-07,9.65,9.74,9.1,9.36,9.36,650900
2016-10-10,9.44,9.9,9.44,9.7,9.7,403500
2016-10-11,9.61,9.68,9.12,9.4,9.4,528000
2016-10-12,9.37,9.51,9.01,9.09,9.09,570200
2016-10-13,8.94,9.16,8.92,9.03,9.03,575500
2016-10-14,9.11,9.14,8.53,8.53,8.53,838000
2016-10-17,8.45,8.7,8.26,8.61,8.61,580900
2016-10-18,8.71,9.01,8.66,8.91,8.91,401300
2016-10-19,8.93,9.02,8.56,8.77,8.77,411800
2016-10-20,8.75,9.23,8.75,9.1,9.1,490000
2016-10-21,9.08,9.15,8.82,8.89,8.89,303000
2016-10-24,8.91,8.99,8.76,8.86,8.86,313100
2016-10-25,8.82,8.9,8.66,8.82,8.82,264000
2016-10-26,8.78,8.87,8.69,8.82,8.82,318500
2016-10-27,8.85,8.92,8.38,8.49,8.49,349800
2016-10-28,8.44,8.6,8.26,8.27,8.27,256100
2016-10-31,8.31,8.39,7.96,8.1,8.1,405500
2016-11-01,8.1,8.28,7.88,8.06,8.06,457100
2016-11-02,8.08,8.09,7.84,7.88,7.88,365200
2016-11-03,7.87,7.96,7.5,7.58,7.58,491900
2016-11-04,7.44,7.75,6.93,7.3,7.3,1205000
2016-11-07,7.28,7.74,7.26,7.47,7.47,565300
2016-11-08,7.4,7.72,7.33,7.57,7.57,332400
2016-11-09,7.73,8.24,7.73,7.98,7.98,599200
2016-11-10,8.31,8.4,7.51,7.62,7.62,741500
2016-11-11,7.54,8.07,7.45,7.93,7.93,501700
2016-11-14,7.96,8.1,7.86,7.94,7.94,412700
2016-11-15,7.89,8.01,7.55,7.94,7.94,546100
2016-11-16,7.75,7.84,7.36,7.4,7.4,555400
2016-11-17,7.45,7.63,7.28,7.42,7.42,497800
2016-11-18,7.5,7.58,7.29,7.55,7.55,586600
2016-11-21,7.59,7.93,7.58,7.79,7.79,434300
2016-11-22,7.74,7.84,7.5,7.62,7.62,738600
2016-11-23,7.49,7.79,7.4,7.77,7.77,392800
2016-11-25,7.77,7.84,7.58,7.69,7.69,286700
2016-11-28,7.71,7.81,7.31,7.34,7.34,562200
2016-11-29,7.31,7.37,7.18,7.21,7.21,388400
2016-11-30,7.25,7.29,7.01,7.13,7.13,416800
2016-12-01,7.2,7.2,6.64,7.02,7.02,800300
2016-12-02,7.0,7.25,6.91,7.12,7.12,459100
2016-12-05,7.24,7.65,7.24,7.58,7.58,625600
2016-12-06,7.6,7.95,7.48,7.94,7.94,649300
2016-12-07,7.83,7.87,7.37,7.52,7.52,590000
2016-12-08,7.49,7.75,7.26,7.69,7.69,475900
2016-12-09,7.76,8.08,7.7,7.9,7.9,405700
2016-12-12,7.82,7.98,7.81,7.94,7.94,293800
2016-12-13,8.0,8.11,7.72,7.73,7.73,343900
2016-12-14,7.73,7.83,7.55,7.66,7.66,206800
2016-12-15,7.64,7.78,7.55,7.77,7.77,284200
2016-12-16,7.81,7.98,7.7,7.74,7.74,447200
2016-12-19,7.74,7.97,7.59,7.64,7.64,285400
2016-12-20,7.65,7.81,7.49,7.54,7.54,314100
2016-12-21,7.59,7.6,7.28,7.29,7.29,223700
2016-12-22,7.28,7.39,6.96,7.14,7.14,303900
2016-12-23,7.14,7.54,7.11,7.51,7.51,193200
2016-12-27,7.48,7.65,7.45,7.57,7.57,196200
2016-12-28,7.58,7.58,7.32,7.4,7.4,323000
2016-12-29,7.44,7.58,7.01,7.18,7.18,403300
2016-12-30,7.17,7.38,7.09,7.18,7.18,559200
2017-01-03,7.29,7.82,7.29,7.8,7.8,644100
2017-01-04,7.83,8.05,7.79,7.97,7.97,457100
2017-01-05,8.0,8.05,7.68,7.89,7.89,267500
2017-01-06,7.92,7.92,7.76,7.78,7.78,167000
2017-01-09,7.82,8.63,7.77,8.26,8.26,790200
2017-01-10,8.3,8.57,7.88,8.25,8.25,388400
2017-01-11,8.25,8.34,7.71,7.91,7.91,590500
2017-01-12,7.93,7.99,7.52,7.85,7.85,467600
2017-01-13,7.83,8.14,7.83,8.02,8.02,261300
2017-01-17,8.25,8.3,7.73,7.74,7.74,339000
2017-01-18,7.75,7.8,7.62,7.79,7.79,235700
2017-01-19,7.77,7.83,7.44,7.54,7.54,294600
2017-01-20,7.5,7.76,7.5,7.62,7.62,154000
2017-01-23,7.62,7.74,7.51,7.61,7.61,116000
2017-01-24,7.63,7.67,7.35,7.61,7.61,223800
2017-01-25,7.86,8.12,7.71,7.92,7.92,467800
2017-01-26,7.91,8.08,7.75,7.82,7.82,215200
2017-01-27,7.86,7.96,7.63,7.88,7.88,216700
2017-01-30,7.8,7.81,7.56,7.57,7.57,213500
2017-01-31,7.55,8.03,7.41,7.99,7.99,351500
2017-02-01,8.06,8.08,7.89,8.0,8.0,321500
2017-02-02,8.0,8.04,7.85,7.9,7.9,227300
2017-02-03,7.98,8.04,7.85,8.03,8.03,245100
2017-02-06,7.23,7.24,6.34,6.59,6.59,3626800
2017-02-07,6.58,6.59,6.06,6.14,6.14,2055400
2017-02-08,6.15,6.43,6.04,6.33,6.33,1232500
2017-02-09,6.35,6.47,6.16,6.27,6.27,656100
2017-02-10,6.26,6.74,6.25,6.6,6.6,984400
2017-02-13,6.65,6.72,6.27,6.36,6.36,736500
2017-02-14,6.4,6.56,6.27,6.54,6.54,481800
2017-02-15,6.55,6.55,6.36,6.5,6.5,546600
2017-02-16,6.49,6.53,6.27,6.45,6.45,409400
2017-02-17,6.43,6.52,6.27,6.34,6.34,399600
2017-02-21,6.57,6.6,6.31,6.53,6.53,658700
2017-02-22,6.52,6.55,6.42,6.5,6.5,318100
2017-02-23,6.54,6.59,6.41,6.59,6.59,353700
2017-02-24,6.52,6.6,6.47,6.55,6.55,263400
2017-02-27,6.55,6.9,6.52,6.85,6.85,588300
2017-02-28,6.82,6.89,6.59,6.61,6.61,335000
2017-03-01,6.73,6.84,6.65,6.78,6.78,334900
2017-03-02,6.76,7.2,6.67,6.9,6.9,568800
2017-03-03,6.9,7.1,6.75,6.86,6.86,311800
2017-03-06,6.78,7.02,6.58,6.69,6.69,589200
2017-03-07,6.6,6.67,6.5,6.51,6.51,313300
2017-03-08,6.53,6.74,6.47,6.51,6.51,299400
2017-03-09,6.53,6.89,6.53,6.78,6.78,398400
2017-03-10,6.85,6.89,6.67,6.82,6.82,296000
2017-03-13,6.82,7.05,6.82,6.95,6.95,400800
2017-03-14,6.39,6.41,5.22,5.32,5.32,3355500
2017-03-15,5.4,5.63,5.31,5.41,5.41,1346500
2017-03-16,5.4,5.43,5.26,5.38,5.38,737700
2017-03-17,5.35,5.35,5.13,5.24,5.24,788400
2017-03-20,5.24,5.37,5.16,5.32,5.32,350900
2017-03-21,5.33,5.35,5.07,5.07,5.07,470500
2017-03-22,5.1,5.23,4.99,5.21,5.21,396000
2017-03-23,5.25,5.3,5.13,5.14,5.14,355900
2017-03-24,5.14,5.22,4.99,5.05,5.05,509600
2017-03-27,5.0,5.17,4.97,5.1,5.1,309800
2017-03-28,5.07,5.19,5.01,5.17,5.17,391300
2017-03-29,5.17,5.38,5.1,5.31,5.31,419000
2017-03-30,5.32,5.33,5.22,5.32,5.32,343000
2017-03-31,5.3,5.4,5.21,5.3,5.3,384200
2017-04-03,5.31,5.34,5.12,5.19,5.19,270900
2017-04-04,5.18,5.31,5.17,5.22,5.22,301300
2017-04-05,5.23,5.29,5.09,5.15,5.15,325000
2017-04-06,5.17,5.24,5.02,5.22,5.22,319500
2017-04-07,5.19,5.42,5.19,5.39,5.39,325000
2017-04-10,5.4,5.64,5.27,5.27,5.27,421100
2017-04-11,5.28,5.43,5.25,5.36,5.36,239800
2017-04-12,5.35,5.41,5.26,5.33,5.33,232300
2017-04-13,5.3,5.64,5.3,5.56,5.56,399100
2017-04-17,5.59,5.7,5.47,5.55,5.55,296600
2017-04-18,5.51,5.67,5.43,5.66,5.66,274300
2017-04-19,5.66,5.98,5.62,5.8,5.8,565300
2017-04-20,5.88,5.94,5.75,5.87,5.87,297600
2017-04-21,5.87,6.3,5.87,6.16,6.16,443900
2017-04-24,6.25,6.31,6.08,6.11,6.11,388600
2017-04-25,6.14,6.27,6.02,6.04,6.04,425100
2017-04-26,6.2,6.6,6.12,6.4,6.4,675900
2017-04-27,6.4,6.5,6.18,6.3,6.3,386900
2017-04-28,6.3,6.37,6.18,6.2,6.2,209700
2017-05-01,6.21,6.32,6.04,6.27,6.27,221100
2017-05-02,6.26,6.5,6.22,6.35,6.35,311500
2017-05-03,6.35,6.37,6.14,6.22,6.22,211600
2017-05-04,5.9,6.4,5.7,6.34,6.34,528500
2017-05-05,6.37,6.85,6.37,6.64,6.64,667100
2017-05-08,6.5,6.64,6.28,6.51,6.51,620400
2017-05-09,6.5,6.75,6.06,6.42,6.42,633600
2017-05-10,6.28,6.58,6.12,6.36,6.36,502600
2017-05-11,6.36,6.48,6.06,6.29,6.29,430400
2017-05-12,6.27,6.53,6.26,6.41,6.41,415000
2017-05-15,6.43,6.52,6.2,6.22,6.22,301500
2017-05-16,6.26,6.33,6.11,6.26,6.26,348400
2017-05-17,6.15,6.3,5.94,5.95,5.95,461700
2017-05-18,5.93,6.1,5.78,5.8,5.8,710200
2017-05-19,5.88,6.13,5.82,6.0,6.0,449800
2017-05-22,6.0,6.04,5.81,5.87,5.87,297100
2017-05-23,5.9,5.95,5.82,5.89,5.89,242500
2017-05-24,5.92,6.07,5.85,5.9,5.9,194800
2017-05-25,5.95,5.99,5.86,5.92,5.92,219100
2017-05-26,5.9,5.99,5.76,5.9,5.9,176400
2017-05-30,5.91,5.93,5.59,5.7,5.7,332300
2017-05-31,5.77,5.8,5.59,5.76,5.76,213400
2017-06-01,5.8,6.04,5.8,5.92,5.92,266400
2017-06-02,5.93,6.1,5.87,6.03,6.03,273800
2017-06-05,6.04,6.14,5.83,6.04,6.04,206900
2017-06-06,6.0,6.08,5.81,5.91,5.91,322600
2017-06-07,5.93,6.03,5.79,5.91,5.91,195000
2017-06-08,5.95,6.2,5.86,6.2,6.2,372400
2017-06-09,6.24,6.43,6.19,6.26,6.26,402000
2017-06-12,6.25,6.3,6.05,6.13,6.13,322100
2017-06-13,6.15,6.38,6.15,6.32,6.32,288900
2017-06-14,6.32,6.56,6.3,6.42,6.42,342700
2017-06-15,6.35,6.53,6.16,6.31,6.31,302200
2017-06-16,6.23,6.48,6.2,6.43,6.43,340400
2017-06-19,6.49,6.95,6.44,6.78,6.78,411800
2017-06-20,6.77,7.09,6.66,6.95,6.95,432700
2017-06-21,7.0,7.08,6.8,6.84,6.84,842300
2017-06-22,6.88,7.0,6.83,6.98,6.98,467300
2017-06-23,6.98,7.02,6.82,7.0,7.0,1055800
2017-06-26,7.02,7.3,6.89,7.08,7.08,742500
2017-06-27,7.07,7.45,7.05,7.24,7.24,415600
2017-06-28,7.29,7.4,7.11,7.28,7.28,342400
2017-06-29,7.28,7.45,7.02,7.41,7.41,452700
2017-06-30,7.42,7.42,7.22,7.23,7.23,214000
2017-07-03,7.27,7.33,7.08,7.28,7.28,192600
2017-07-05,7.28,7.48,7.15,7.28,7.28,255100
2017-07-06,7.26,7.32,7.06,7.15,7.15,229900
2017-07-07,7.17,7.3,7.08,7.26,7.26,275900
2017-07-10,7.26,7.32,7.0,7.28,7.28,285100
2017-07-11,7.23,7.38,7.19,7.33,7.33,168600
2017-07-12,7.35,7.67,7.3,7.6,7.6,302000
2017-07-13,7.6,7.6,7.32,7.44,7.44,298200
2017-07-14,7.45,7.59,7.37,7.42,7.42,134600
2017-07-17,7.41,7.59,7.29,7.34,7.34,315600
2017-07-18,7.32,7.4,7.08,7.25,7.25,210300
2017-07-19,7.28,7.34,7.14,7.18,7.18,207400
2017-07-20,7.24,7.29,7.15,7.19,7.19,145700
2017-07-21,7.25,7.32,7.05,7.06,7.06,275100
2017-07-24,7.07,7.27,7.0,7.13,7.13,187500
2017-07-25,7.17,7.31,7.05,7.25,7.25,303900
2017-07-26,7.49,7.49,7.2,7.28,7.28,194500
2017-07-27,7.29,7.29,6.94,7.04,7.04,317800
2017-07-28,7.01,7.19,6.8,6.87,6.87,260000
2017-07-31,6.87,6.93,6.66,6.75,6.75,257000
2017-08-01,6.78,6.82,6.63,6.69,6.69,278600
2017-08-02,6.7,6.92,6.65,6.83,6.83,230800
2017-08-03,6.87,6.87,6.51,6.53,6.53,211400
2017-08-04,6.54,6.76,6.45,6.52,6.52,215300
2017-08-07,6.5,6.55,6.21,6.26,6.26,443100
2017-08-08,6.26,6.26,6.03,6.07,6.07,384100
2017-08-09,6.06,6.14,5.97,6.07,6.07,306400
2017-08-10,6.06,6.13,5.87,5.88,5.88,267300
2017-08-11,5.88,5.99,5.63,5.74,5.74,455800
2017-08-14,5.76,5.84,5.55,5.58,5.58,471700
2017-08-15,5.6,5.62,5.36,5.51,5.51,279200
2017-08-16,5.54,5.63,5.45,5.52,5.52,198400
2017-08-17,5.52,5.61,5.43,5.47,5.47,256900
