Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,6.0,6.13,5.75,5.81,5.81,754400
2016-01-05,5.82,5.95,5.63,5.71,5.71,571800
2016-01-06,5.6,5.83,5.5,5.64,5.64,691500
2016-01-07,5.55,5.55,5.1,5.18,5.18,1374900
2016-01-08,5.19,5.31,4.9,4.94,4.94,1200800
2016-01-11,4.95,5.34,4.49,4.62,4.62,1475700
2016-01-12,4.67,4.89,4.45,4.75,4.75,1175600
2016-01-13,4.79,4.83,4.27,4.35,4.35,1121900
2016-01-14,4.38,4.65,4.07,4.48,4.48,874100
2016-01-15,4.2,4.34,4.09,4.29,4.29,1053000
2016-01-19,4.3,4.43,3.92,4.04,4.04,1089700
2016-01-20,3.95,4.28,3.74,4.14,4.14,1552000
2016-01-21,4.13,4.24,3.93,3.95,3.95,1283100
2016-01-22,4.07,4.33,3.98,4.32,4.32,747500
2016-01-25,4.27,4.48,4.16,4.21,4.21,1187700
2016-01-26,4.25,4.43,4.06,4.36,4.36,782100
2016-01-27,4.35,4.41,4.12,4.15,4.15,929900
2016-01-28,4.19,4.25,3.93,4.0,4.0,730900
2016-01-29,4.0,4.2,3.96,4.17,4.17,823400
2016-02-01,4.15,4.33,4.06,4.27,4.27,650200
2016-02-02,4.2,4.3,4.1,4.22,4.22,1064000
2016-02-03,4.25,4.33,4.05,4.29,4.29,1234900
2016-02-04,4.25,4.57,4.2,4.29,4.29,975900
2016-02-05,4.24,4.37,4.14,4.21,4.21,1062900
2016-02-08,4.11,4.2,3.82,3.95,3.95,1291500
2016-02-09,3.85,4.02,3.61,3.85,3.85,808500
2016-02-10,3.93,4.35,3.89,4.06,4.06,1011600
2016-02-11,3.93,4.08,3.85,4.07,4.07,815600
2016-02-12,4.13,4.13,3.91,4.01,4.01,1392900
2016-02-16,4.1,4.76,4.1,4.74,4.74,1046500
2016-02-17,4.78,4.95,4.66,4.88,4.88,1156400
2016-02-18,4.91,4.93,4.68,4.75,4.75,1015000
2016-02-19,4.71,4.84,4.58,4.73,4.73,579900
2016-02-22,4.83,4.87,4.64,4.71,4.71,758600
2016-02-23,4.64,4.83,4.5,4.53,4.53,934800
2016-02-24,4.48,4.6,4.3,4.59,4.59,631300
2016-02-25,4.61,4.78,4.31,4.37,4.37,739400
2016-02-26,4.4,4.63,4.36,4.6,4.6,708300
2016-02-29,4.59,4.68,4.41,4.41,4.41,995100
2016-03-01,4.45,4.53,4.34,4.52,4.52,879400
2016-03-02,4.48,4.82,4.26,4.74,4.74,978000
2016-03-03,4.75,4.97,4.67,4.69,4.69,864400
2016-03-04,4.67,4.83,4.62,4.67,4.67,1004700
2016-03-07,4.65,4.93,4.56,4.9,4.9,911000
2016-03-08,4.87,4.88,4.67,4.7,4.7,913900
