Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.58,19.389999,17.940001000000002,18.23,18.23,136700
2016-01-05,17.450001,18.68,17.450001,17.91,17.91,50700
2016-01-06,17.9,18.950001,17.82,18.139999,18.139999,74400
2016-01-07,17.99,18.719998999999998,17.4,17.5,17.5,111000
2016-01-08,17.6,19.450001,17.040001,17.110001,17.110001,84800
2016-01-11,17.450001,17.559998999999998,16.450001,16.83,16.83,80800
2016-01-12,17.280001000000002,17.389999,16.049999,16.67,16.67,48000
2016-01-13,16.77,18.25,15.95,16.129998999999998,16.129998999999998,49200
2016-01-14,16.24,17.049999,15.0,16.25,16.25,78900
2016-01-15,15.75,16.049999,14.96,15.83,15.83,62300
2016-01-19,16.0,16.110001,14.73,15.17,15.17,71000
2016-01-20,14.85,16.190001000000002,14.08,15.78,15.78,72200
2016-01-21,15.87,16.01,15.22,15.46,15.46,55400
2016-01-22,15.8,17.700001,15.27,16.52,16.52,47800
2016-01-25,17.309998999999998,17.4,16.389999,16.82,16.82,93400
2016-01-26,16.52,16.82,15.73,16.59,16.59,45400
2016-01-27,17.07,17.469998999999998,15.44,15.55,15.55,23700
2016-01-28,15.73,16.34,14.25,14.4,14.4,38900
2016-01-29,14.42,15.13,14.3,14.62,14.62,33800
2016-02-01,14.55,15.12,13.93,14.45,14.45,42800
2016-02-02,14.27,15.62,13.96,14.31,14.31,63900
2016-02-03,14.64,14.64,12.82,13.64,13.64,51400
2016-02-04,13.6,14.26,13.51,14.05,14.05,48900
2016-02-05,13.96,13.96,13.25,13.3,13.3,40200
2016-02-08,13.15,13.33,12.52,13.07,13.07,38700
2016-02-09,12.89,13.18,12.05,12.78,12.78,56100
2016-02-10,12.9,14.98,12.45,13.15,13.15,27400
2016-02-11,12.89,13.17,12.25,12.31,12.31,81500
2016-02-12,12.5,13.17,12.19,13.01,13.01,35400
2016-02-16,13.13,14.61,13.13,13.9,13.9,33900
2016-02-17,14.11,14.54,13.48,14.12,14.12,92800
2016-02-18,14.1,14.82,13.99,14.18,14.18,34000
2016-02-19,14.0,14.06,13.8,13.91,13.91,33000
2016-02-22,14.0,14.22,13.51,13.51,13.51,29600
2016-02-23,13.62,14.15,13.31,13.35,13.35,42900
2016-02-24,13.2,14.79,13.2,14.34,14.34,53400
2016-02-25,14.26,14.81,14.0,14.3,14.3,41600
2016-02-26,16.0,16.0,15.1,15.51,15.51,177900
2016-02-29,15.69,16.0,15.1,15.28,15.28,57400
2016-03-01,15.56,16.049999,15.09,15.55,15.55,62200
2016-03-02,15.6,16.18,15.54,16.1,16.1,57200
2016-03-03,16.26,16.58,15.71,16.1,16.1,50600
2016-03-04,16.190001000000002,16.540001,15.51,15.63,15.63,59100
2016-03-07,15.6,16.52,15.48,16.139999,16.139999,54400
2016-03-08,16.07,16.200001,15.5,15.67,15.67,47500
2016-03-09,15.81,16.32,15.3,15.76,15.76,62500
2016-03-10,15.87,16.5,15.78,15.98,15.98,47100
2016-03-11,16.18,16.27,15.97,16.190001000000002,16.190001000000002,54000
2016-03-14,16.23,16.459999,16.049999,16.360001,16.360001,56600
2016-03-15,16.15,16.280001000000002,15.96,16.049999,16.049999,64300
2016-03-16,15.98,16.190001000000002,15.55,15.58,15.58,33100
2016-03-17,15.5,15.84,14.47,15.63,15.63,65200
2016-03-18,15.75,16.07,15.33,15.83,15.83,49600
2016-03-21,15.77,16.01,15.52,15.63,15.63,31400
2016-03-22,15.4,15.97,15.32,15.82,15.82,22700
2016-03-23,15.74,15.87,14.34,14.37,14.37,48900
2016-03-24,14.3,14.98,14.15,14.64,14.64,22500
2016-03-28,14.76,15.15,14.36,14.7,14.7,25000
2016-03-29,14.73,16.059998999999998,14.69,15.98,15.98,33500
2016-03-30,16.07,16.33,15.0,16.049999,16.049999,54200
2016-03-31,16.0,16.1,15.1,15.17,15.17,38500
2016-04-01,15.13,15.56,15.0,15.16,15.16,58600
2016-04-04,15.42,16.540001,15.1,15.46,15.46,185600
2016-04-05,15.29,16.030001000000002,14.92,14.93,14.93,92800
2016-04-06,14.96,15.3,14.78,15.12,15.12,103300
2016-04-07,15.0,15.41,14.64,15.1,15.1,89000
2016-04-08,15.32,15.45,14.9,15.11,15.11,73000
2016-04-11,15.34,15.36,14.87,15.06,15.06,64800
2016-04-12,15.05,15.05,14.41,14.61,14.61,91800
2016-04-13,14.65,16.450001,14.44,16.26,16.26,221000
2016-04-14,16.33,16.75,15.63,15.84,15.84,40400
2016-04-15,15.76,15.76,14.8,15.05,15.05,69300
2016-04-18,14.91,15.43,14.62,15.31,15.31,65800
2016-04-19,15.28,15.5,14.87,15.07,15.07,301400
2016-04-20,15.05,15.19,14.84,14.89,14.89,90800
2016-04-21,14.89,15.3,14.89,14.98,14.98,75000
2016-04-22,15.03,15.35,14.81,14.92,14.92,101300
2016-04-25,14.93,15.19,14.9,15.05,15.05,62300
2016-04-26,15.03,15.12,14.47,14.83,14.83,76900
2016-04-27,14.71,14.77,14.18,14.49,14.49,59400
2016-04-28,14.44,14.64,14.04,14.11,14.11,52400
2016-04-29,14.16,14.16,13.56,13.62,13.62,81500
2016-05-02,13.67,13.93,13.5,13.62,13.62,37300
2016-05-03,13.5,13.94,13.0,13.28,13.28,110700
2016-05-04,13.2,13.34,13.0,13.09,13.09,90800
2016-05-05,13.11,13.52,12.81,12.97,12.97,71400
2016-05-06,12.89,13.0,12.44,12.72,12.72,95800
2016-05-09,12.62,13.13,12.44,12.74,12.74,38900
2016-05-10,12.79,13.09,12.45,13.03,13.03,69400
2016-05-11,13.01,13.69,12.82,13.18,13.18,72800
2016-05-12,13.17,13.52,12.51,12.68,12.68,41100
2016-05-13,13.1,13.39,12.79,13.02,13.02,50100
2016-05-16,13.13,13.94,13.13,13.79,13.79,48300
2016-05-17,13.78,14.25,12.27,13.51,13.51,66600
2016-05-18,13.43,13.89,13.2,13.49,13.49,61000
2016-05-19,13.43,13.83,12.86,13.3,13.3,47500
2016-05-20,13.44,14.25,13.16,14.1,14.1,78600
2016-05-23,14.11,14.85,14.11,14.51,14.51,62900
2016-05-24,14.57,16.040001,14.45,15.44,15.44,115200
2016-05-25,15.15,15.76,15.15,15.45,15.45,52500
2016-05-26,14.25,15.75,14.25,15.29,15.29,171400
2016-05-27,15.4,15.55,15.0,15.34,15.34,83100
2016-05-31,15.38,16.24,15.34,16.17,16.17,144000
2016-06-01,16.030001000000002,16.5,15.95,16.190001000000002,16.190001000000002,96000
2016-06-02,16.18,16.440001000000002,15.76,16.16,16.16,67700
2016-06-03,16.209999,16.440001000000002,15.65,16.370001000000002,16.370001000000002,117900
2016-06-06,16.52,16.799999,16.08,16.709999,16.709999,102900
2016-06-07,16.799999,16.799999,16.4,16.450001,16.450001,42700
2016-06-08,16.57,16.93,15.09,16.74,16.74,70100
2016-06-09,16.66,16.66,15.95,16.059998999999998,16.059998999999998,38600
