Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,31.6,31.889999,30.09,30.860001,30.860001,751300
2016-01-05,31.040001,31.620001000000002,29.129998999999998,29.559998999999998,29.559998999999998,659300
2016-01-06,28.940001000000002,29.860001,28.58,29.309998999999998,29.309998999999998,890600
2016-01-07,28.49,29.25,27.23,27.469998999999998,27.469998999999998,1231200
2016-01-08,28.190001000000002,28.690001000000002,26.139999,26.32,26.32,714900
2016-01-11,26.5,26.59,22.610001,23.18,23.18,979500
2016-01-12,23.32,24.540001,22.030001000000002,23.870001000000002,23.870001000000002,755500
2016-01-13,24.059998999999998,24.469998999999998,21.440001000000002,22.66,22.66,912300
2016-01-14,22.65,24.389999,20.610001,23.83,23.83,1096000
2016-01-15,21.43,23.66,18.629998999999998,23.110001,23.110001,3401900
2016-01-19,23.76,26.200001,23.120001000000002,24.51,24.51,1889200
2016-01-20,23.91,28.26,22.790001,27.139999,27.139999,1324600
2016-01-21,26.75,29.35,26.559998999999998,26.870001000000002,26.870001000000002,1236500
2016-01-22,27.59,28.898001,26.700001,27.549999,27.549999,545300
2016-01-25,26.959999,27.622999,25.440001000000002,25.809998999999998,25.809998999999998,1293400
2016-01-26,25.959999,26.709999,24.709999,26.08,26.08,654700
2016-01-27,26.0,26.23,23.700001,24.09,24.09,926000
2016-01-28,24.51,24.6,22.309998999999998,23.030001000000002,23.030001000000002,953700
2016-01-29,23.0,24.552,22.790001,23.82,23.82,664500
2016-02-01,23.82,25.09,22.799999,24.74,24.74,590500
2016-02-02,24.200001,24.700001,23.6,23.99,23.99,584200
2016-02-03,24.24,25.334999,23.290001,25.16,25.16,679000
2016-02-04,24.9,27.719998999999998,24.879998999999998,26.700001,26.700001,782300
2016-02-05,26.450001,26.889999,24.110001,24.629998999999998,24.629998999999998,779100
2016-02-08,24.299999,24.84,22.645,23.370001000000002,23.370001000000002,936700
2016-02-09,22.85,25.620001000000002,22.360001,23.76,23.76,513900
2016-02-10,24.24,25.809998999999998,23.48,23.73,23.73,489700
2016-02-11,23.139999,24.799999,22.67,24.23,24.23,559400
2016-02-12,24.51,25.610001,23.200001,25.51,25.51,571200
2016-02-16,26.200001,28.219998999999998,25.799999,27.959999,27.959999,670900
2016-02-17,28.620001000000002,30.0,28.09,29.77,29.77,745700
2016-02-18,29.67,30.23,28.67,29.23,29.23,676900
2016-02-19,29.16,29.700001,27.559998999999998,28.84,28.84,785500
2016-02-22,29.77,29.98,27.76,28.26,28.26,607600
2016-02-23,16.129998999999998,17.0,10.8,10.84,10.84,26582000
2016-02-24,10.61,11.469,10.11,10.51,10.51,6438300
2016-02-25,10.95,12.26,10.52,11.32,11.32,7268800
2016-02-26,11.51,11.69,7.83,7.99,7.99,7719500
2016-02-29,7.93,8.57,7.79,7.98,7.98,6060600
2016-03-01,7.56,7.69,5.29,5.55,5.55,13132800
2016-03-02,5.75,6.68,5.571,6.4,6.4,7896500
2016-03-03,6.55,6.8,6.0,6.1,6.1,3727200
2016-03-04,6.1,6.25,5.85,6.06,6.06,2282400
2016-03-07,6.24,6.54,5.97,6.48,6.48,2528600
2016-03-08,6.19,6.42,6.16,6.16,6.16,1999500
2016-03-09,6.21,6.261,5.83,5.9,5.9,1575300
2016-03-10,5.99,6.13,5.62,5.76,5.76,1382600
2016-03-11,5.88,6.17,5.69,6.15,6.15,1484000
2016-03-14,6.09,6.46,5.95,6.32,6.32,1279300
2016-03-15,6.22,6.31,5.62,5.66,5.66,1555500
2016-03-16,5.6,5.73,5.27,5.48,5.48,1563200
2016-03-17,5.49,5.62,5.3,5.5,5.5,1388200
2016-03-18,5.6,6.04,5.57,5.93,5.93,3307300
2016-03-21,5.87,6.322,5.75,6.15,6.15,1132800
2016-03-22,6.15,6.32,6.0,6.23,6.23,965000
2016-03-23,6.25,6.44,5.65,5.66,5.66,1065900
2016-03-24,5.5,5.88,5.4,5.715,5.715,656900
2016-03-28,5.73,5.85,5.51,5.51,5.51,573300
2016-03-29,5.48,5.89,5.3,5.86,5.86,817100
2016-03-30,5.93,6.27,5.92,6.09,6.09,1013900
2016-03-31,6.05,6.69,5.98,6.44,6.44,1402200
2016-04-01,6.34,7.1,6.29,6.76,6.76,1468300
2016-04-04,6.76,7.18,6.69,6.79,6.79,1007800
2016-04-05,6.75,6.94,6.55,6.58,6.58,621000
2016-04-06,6.58,6.94,6.39,6.93,6.93,1089800
2016-04-07,6.91,7.21,6.74,7.08,7.08,936900
2016-04-08,7.24,7.29,6.26,6.37,6.37,1494900
2016-04-11,6.42,6.495,6.15,6.22,6.22,610400
2016-04-12,6.24,6.31,5.78,6.06,6.06,945300
2016-04-13,6.17,6.405,5.91,6.32,6.32,779200
2016-04-14,6.37,6.45,6.1,6.23,6.23,394700
2016-04-15,6.4,10.15,6.06,8.92,8.92,28675100
2016-04-18,8.4,8.75,7.91,8.33,8.33,7088500
2016-04-19,8.23,8.6,7.838,7.96,7.96,1640000
2016-04-20,7.98,7.98,7.26,7.59,7.59,2687600
2016-04-21,7.47,8.41,7.45,8.25,8.25,2421400
2016-04-22,8.25,8.43,7.631,8.3,8.3,1490600
2016-04-25,8.26,8.75,8.26,8.29,8.29,1605200
2016-04-26,8.31,8.32,7.458,8.03,8.03,1717200
2016-04-27,7.97,8.11,7.65,7.79,7.79,1331600
2016-04-28,7.78,8.15,7.56,7.84,7.84,968400
2016-04-29,7.8,7.975,7.27,7.42,7.42,1516700
2016-05-02,7.52,7.75,7.29,7.75,7.75,1116100
2016-05-03,7.39,7.98,7.39,7.7,7.7,907600
2016-05-04,7.66,7.79,6.92,6.97,6.97,1269400
2016-05-05,7.03,7.13,6.76,6.88,6.88,983400
2016-05-06,7.66,7.7,6.79,7.09,7.09,1645700
2016-05-09,7.13,8.05,6.98,7.74,7.74,1133200
2016-05-10,7.76,7.76,7.15,7.57,7.57,1044000
2016-05-11,7.55,7.61,7.25,7.25,7.25,782100
2016-05-12,7.32,7.34,6.54,6.6,6.6,1359800
2016-05-13,6.57,6.94,6.57,6.76,6.76,708900
2016-05-16,6.84,7.377,6.61,7.22,7.22,1026400
2016-05-17,7.14,7.4,6.92,6.98,6.98,816000
2016-05-18,6.93,7.08,6.71,6.84,6.84,718200
2016-05-19,6.81,7.11,6.5,6.65,6.65,1027600
2016-05-20,6.77,8.14,6.7,8.0,8.0,3181500
2016-05-23,8.01,8.38,7.51,7.71,7.71,2371900
2016-05-24,7.81,8.34,7.67,8.14,8.14,1576800
2016-05-25,8.37,8.65,7.8,8.37,8.37,1791700
2016-05-26,8.33,8.348,7.81,7.87,7.87,1317200
2016-05-27,7.76,7.92,7.6,7.84,7.84,956700
2016-05-31,7.93,8.4,7.85,8.16,8.16,1176900
2016-06-01,8.18,8.355,7.99,8.14,8.14,971000
2016-06-02,8.13,8.37,8.08,8.35,8.35,1240300
2016-06-03,8.3,8.3,7.65,7.65,7.65,1527400
2016-06-06,7.62,8.275,7.35,8.23,8.23,1302000
2016-06-07,8.23,8.23,7.9,8.01,8.01,803300
2016-06-08,8.04,8.098,7.8,7.89,7.89,1023800
2016-06-09,7.8,7.84,7.508,7.54,7.54,1109900
2016-06-10,7.41,7.63,7.17,7.24,7.24,1094200
2016-06-13,7.16,7.42,6.84,6.86,6.86,1041400
2016-06-14,6.84,7.19,6.78,7.09,7.09,1282700
2016-06-15,7.14,7.37,7.03,7.22,7.22,591900
2016-06-16,7.12,7.25,6.89,7.24,7.24,585300
2016-06-17,7.26,7.26,6.76,6.82,6.82,1119100
2016-06-20,6.93,7.14,6.69,6.98,6.98,747700
2016-06-21,7.0,7.0,6.52,6.72,6.72,1041100
2016-06-22,6.74,7.03,6.53,6.6,6.6,825500
2016-06-23,6.71,7.02,6.61,7.0,7.0,553400
2016-06-24,6.62,6.79,6.41,6.66,6.66,1936100
2016-06-27,6.61,6.74,6.25,6.26,6.26,1806500
2016-06-28,6.43,6.9,6.418,6.71,6.71,956400
2016-06-29,6.88,7.13,6.64,7.03,7.03,745800
2016-06-30,7.0,7.29,6.96,7.02,7.02,758900
2016-07-01,7.05,7.35,6.98,7.15,7.15,799700
2016-07-05,7.05,7.12,6.75,6.83,6.83,598000
2016-07-06,6.8,7.24,6.75,7.11,7.11,562400
2016-07-07,7.85,7.949,7.41,7.51,7.51,2090600
2016-07-08,7.51,7.57,7.22,7.53,7.53,781400
2016-07-11,7.55,7.8,7.45,7.47,7.47,537100
2016-07-12,7.56,7.6,7.385,7.4,7.4,434000
2016-07-13,7.46,7.52,6.96,6.96,6.96,639300
2016-07-14,7.11,7.23,6.83,6.91,6.91,488900
2016-07-15,6.93,7.17,6.83,7.15,7.15,509400
2016-07-18,7.13,7.19,6.93,7.1,7.1,422700
2016-07-19,7.1,7.25,6.82,6.86,6.86,522400
2016-07-20,6.89,7.5,6.83,7.41,7.41,1797900
2016-07-21,7.51,7.63,7.21,7.3,7.3,580800
2016-07-22,7.31,7.54,7.12,7.18,7.18,478900
2016-07-25,7.22,7.35,6.27,6.76,6.76,1988400
2016-07-26,6.38,6.46,5.819,5.88,5.88,2887300
2016-07-27,5.9,5.9,5.66,5.71,5.71,1097800
2016-07-28,5.71,5.88,5.64,5.77,5.77,830000
2016-07-29,5.71,6.14,5.69,5.97,5.97,1556800
2016-08-01,6.03,6.33,6.02,6.1,6.1,1032200
2016-08-02,6.09,6.19,5.775,5.86,5.86,1085300
2016-08-03,5.81,6.32,5.81,6.26,6.26,1108700
2016-08-04,6.27,6.34,5.94,6.09,6.09,846600
2016-08-05,6.17,7.99,6.14,7.77,7.77,5340900
2016-08-08,7.76,7.82,7.42,7.6,7.6,1242400
2016-08-09,7.63,7.88,7.48,7.8,7.8,846000
2016-08-10,7.79,7.88,7.58,7.62,7.62,647100
2016-08-11,7.67,7.77,7.51,7.73,7.73,766600
2016-08-12,7.72,8.245,7.671,8.12,8.12,1600700
2016-08-15,8.15,8.54,8.15,8.19,8.19,1042400
2016-08-16,8.14,8.47,7.83,8.17,8.17,995600
