Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.34,16.34,15.25,15.81,15.81,500300
2016-01-05,15.99,16.610001,15.71,16.17,16.17,314000
2016-01-06,15.82,16.17,14.52,14.91,14.91,469000
2016-01-07,16.74,17.77,15.88,17.280001000000002,17.280001000000002,2395400
2016-01-08,18.049999,19.402,17.83,18.190001000000002,18.190001000000002,931400
2016-01-11,17.940001000000002,18.24,16.139999,16.58,16.58,873200
2016-01-12,17.0,17.450001,15.53,16.35,16.35,456000
2016-01-13,16.5,16.610001,14.44,14.66,14.66,620000
2016-01-14,14.52,15.83,13.27,15.83,15.83,598600
2016-01-15,14.36,15.93,14.36,15.9,15.9,446200
2016-01-19,15.87,16.6,14.62,14.75,14.75,702100
2016-01-20,14.48,15.799,13.98,15.48,15.48,399500
2016-01-21,15.19,17.009001,15.18,16.33,16.33,523600
2016-01-22,16.620001000000002,17.5,16.459999,16.860001,16.860001,403900
2016-01-25,16.719998999999998,17.780001000000002,16.525,17.389999,17.389999,313300
2016-01-26,17.51,17.545,16.540001,17.26,17.26,182700
2016-01-27,17.389999,18.1,16.764999,18.040001,18.040001,369700
2016-01-28,18.01,18.959,17.57,18.209999,18.209999,746400
2016-01-29,18.190001000000002,19.030001000000002,17.525,18.23,18.23,242500
2016-02-01,18.059998999999998,18.795,17.280001000000002,18.059998999999998,18.059998999999998,347500
2016-02-02,17.889999,18.1,16.950001,17.4,17.4,286900
2016-02-03,17.48,17.48,16.26,17.0,17.0,273700
2016-02-04,16.969998999999998,17.870001000000002,16.48,16.57,16.57,236800
2016-02-05,16.5,16.52,15.47,15.49,15.49,265800
2016-02-08,15.15,15.15,13.98,14.11,14.11,297200
2016-02-09,13.88,14.67,13.46,13.83,13.83,162500
2016-02-10,14.05,14.95,13.69,13.99,13.99,269000
2016-02-11,13.65,14.93,13.51,14.25,14.25,247500
2016-02-12,14.48,14.94,13.9,14.38,14.38,134500
2016-02-16,14.57,15.51,14.46,14.77,14.77,182000
2016-02-17,14.92,15.76,14.64,15.65,15.65,231400
2016-02-18,15.63,15.95,14.826,15.07,15.07,148500
2016-02-19,15.01,15.58,14.46,15.54,15.54,144700
2016-02-22,15.8,16.4,15.27,15.5,15.5,194600
2016-02-23,15.43,15.72,14.87,14.89,14.89,186800
2016-02-24,15.0,15.49,13.945,15.05,15.05,385900
2016-02-25,15.09,15.65,14.78,15.2,15.2,173100
2016-02-26,15.4,15.75,14.4,14.67,14.67,161700
2016-02-29,14.48,14.99,13.93,14.03,14.03,405300
2016-03-01,14.09,14.83,13.96,14.71,14.71,207000
2016-03-02,14.64,15.67,14.25,15.34,15.34,425500
2016-03-03,15.38,15.73,14.38,14.6,14.6,482500
2016-03-04,14.65,14.671,13.96,14.02,14.02,343300
2016-03-07,14.02,15.24,13.945,14.72,14.72,349200
2016-03-08,14.57,15.08,13.81,13.82,13.82,580500
2016-03-09,14.02,14.14,12.721,12.82,12.82,782200
2016-03-10,13.0,13.98,12.97,13.06,13.06,301100
2016-03-11,13.06,13.44,12.78,13.22,13.22,402800
2016-03-14,13.12,13.312,12.88,13.13,13.13,241400
2016-03-15,12.95,13.2,11.78,11.8,11.8,506100
2016-03-16,11.68,12.16,11.17,11.42,11.42,509300
2016-03-17,11.33,11.67,10.61,11.14,11.14,396900
2016-03-18,11.15,11.91,10.669,11.84,11.84,533900
2016-03-21,11.72,12.346,11.64,11.99,11.99,322100
2016-03-22,11.87,12.81,11.87,12.7,12.7,326700
2016-03-23,12.56,12.9,11.41,11.86,11.86,611300
2016-03-24,11.86,12.37,11.436,11.95,11.95,221200
2016-03-28,12.01,12.01,11.28,11.48,11.48,198900
2016-03-29,11.45,11.99,11.02,11.89,11.89,199900
2016-03-30,11.98,12.62,11.685,11.76,11.76,224400
2016-03-31,11.71,12.44,11.67,11.88,11.88,259000
2016-04-01,11.85,12.75,11.75,12.75,12.75,169800
2016-04-04,12.83,13.8,12.75,13.3,13.3,249500
2016-04-05,13.06,14.66,12.7,14.57,14.57,380000
2016-04-06,14.68,15.0,13.98,14.21,14.21,775600
2016-04-07,14.16,14.49,13.5,14.0,14.0,467000
2016-04-08,14.21,14.31,13.31,13.65,13.65,404100
2016-04-11,13.82,13.94,12.82,12.86,12.86,204700
2016-04-12,12.87,13.2,12.57,13.11,13.11,190000
2016-04-13,13.29,13.29,12.39,12.79,12.79,309100
2016-04-14,12.8,13.23,12.52,13.02,13.02,150800
2016-04-15,13.08,13.19,12.75,13.03,13.03,144400
2016-04-18,12.97,13.29,12.55,13.23,13.23,218600
2016-04-19,13.43,13.43,12.64,12.74,12.74,176400
2016-04-20,12.84,13.23,12.64,12.89,12.89,163200
2016-04-21,12.79,14.88,12.643,14.47,14.47,303700
2016-04-22,14.49,14.76,13.91,14.47,14.47,288000
2016-04-25,14.47,14.64,14.21,14.34,14.34,174700
2016-04-26,14.27,14.44,13.69,13.98,13.98,207100
2016-04-27,13.8,14.09,13.475,13.56,13.56,119500
2016-04-28,13.55,13.85,13.11,13.32,13.32,87200
2016-04-29,13.32,13.45,12.75,12.93,12.93,122600
2016-05-02,12.97,13.11,12.61,12.98,12.98,93400
2016-05-03,12.94,13.538,12.833,13.39,13.39,152800
2016-05-04,13.22,13.23,11.75,12.17,12.17,477300
2016-05-05,12.29,12.56,11.91,12.11,12.11,233100
2016-05-06,12.01,12.32,11.85,12.07,12.07,185600
2016-05-09,12.21,13.17,12.21,12.96,12.96,137000
2016-05-10,13.11,13.17,12.5,12.9,12.9,91600
2016-05-11,12.92,12.92,12.26,12.33,12.33,156900
2016-05-12,12.44,12.44,11.59,11.71,11.71,161700
2016-05-13,11.69,12.455,11.53,12.21,12.21,97500
2016-05-16,12.35,12.79,12.015,12.72,12.72,83700
2016-05-17,12.71,13.1,12.63,12.69,12.69,85700
2016-05-18,12.66,13.05,12.23,12.68,12.68,210900
2016-05-19,12.61,12.965,11.78,12.06,12.06,396000
2016-05-20,12.11,12.31,11.88,12.03,12.03,158600
2016-05-23,12.06,12.59,11.81,12.12,12.12,162100
2016-05-24,12.28,12.59,12.02,12.39,12.39,157500
2016-05-25,12.47,12.89,12.35,12.6,12.6,264100
2016-05-26,12.45,12.504,12.1,12.27,12.27,242500
2016-05-27,12.35,12.62,11.85,11.99,11.99,307100
2016-05-31,12.24,13.82,12.01,13.545,13.545,557200
2016-06-01,13.78,13.79,13.0,13.41,13.41,355800
2016-06-02,13.39,14.31,13.24,13.99,13.99,366400
2016-06-03,13.78,14.26,13.155,14.0,14.0,365500
2016-06-06,14.0,14.16,13.56,14.02,14.02,537000
2016-06-07,13.88,14.59,13.71,14.3,14.3,270700
2016-06-08,14.33,14.33,12.73,12.75,12.75,470900
2016-06-09,12.72,12.92,12.01,12.14,12.14,287400
2016-06-10,12.0,12.199,11.575,11.81,11.81,359600
2016-06-13,11.77,12.0,9.7,9.91,9.91,925400
2016-06-14,9.81,10.1,8.735,9.32,9.32,1184700
2016-06-15,9.43,9.72,9.23,9.35,9.35,349600
2016-06-16,9.28,9.39,8.92,9.05,9.05,559400
