Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.24,17.16,16.07,17.0,17.0,127000
2016-01-05,17.01,17.200001,16.370001000000002,16.9,16.9,77900
2016-01-06,16.52,17.309998999999998,16.02,16.5,16.5,69700
2016-01-07,16.41,16.41,14.18,14.67,14.67,68600
2016-01-08,14.93,15.55,13.43,13.78,13.78,83100
2016-01-11,14.01,14.47,13.39,13.78,13.78,123600
2016-01-12,13.94,14.47,13.25,13.39,13.39,94500
2016-01-13,13.68,13.86,12.08,12.51,12.51,139900
2016-01-14,12.51,13.05,12.15,12.48,12.48,91000
2016-01-15,12.25,12.9,12.12,12.6,12.6,102300
2016-01-19,12.68,13.285,12.68,12.89,12.89,52200
2016-01-20,12.62,13.0,12.29,12.65,12.65,135900
2016-01-21,12.825,12.87,12.45,12.52,12.52,172900
2016-01-22,12.76,13.21,12.6,12.69,12.69,102300
2016-01-25,13.41,13.41,12.5,12.93,12.93,69300
2016-01-26,12.91,13.73,12.84,13.56,13.56,47100
2016-01-27,13.65,13.9,13.54,13.77,13.77,48500
2016-01-28,13.87,13.87,12.51,13.09,13.09,103400
2016-01-29,13.06,13.95,13.0,13.9,13.9,81600
2016-02-01,13.7,13.75,12.2,12.82,12.82,108500
2016-02-02,13.33,13.46,12.61,12.71,12.71,51600
2016-02-03,12.92,13.25,12.23,12.34,12.34,72100
2016-02-04,12.29,12.65,12.29,12.51,12.51,43200
2016-02-05,12.51,13.63,12.19,12.73,12.73,50100
2016-02-08,12.67,13.89,12.05,12.61,12.61,56200
2016-02-09,12.59,13.54,11.4,12.11,12.11,129800
2016-02-10,12.0,12.6,11.82,12.28,12.28,36200
2016-02-11,11.99,12.55,11.66,12.07,12.07,21100
2016-02-12,12.94,13.3,12.48,13.16,13.16,49000
2016-02-16,13.39,14.0,13.22,13.94,13.94,38000
2016-02-17,14.09,14.9,12.58,14.81,14.81,92500
2016-02-18,14.06,14.35,13.52,13.89,13.89,28100
2016-02-19,13.83,14.4,13.235,13.91,13.91,36300
2016-02-22,14.21,14.54,13.7,13.78,13.78,50500
2016-02-23,13.29,14.174,12.34,13.13,13.13,28500
2016-02-24,13.11,13.32,12.325,12.97,12.97,158200
2016-02-25,13.11,13.2,12.36,13.04,13.04,111600
2016-02-26,13.23,13.55,12.93,13.08,13.08,21700
2016-02-29,13.26,13.56,11.89,12.13,12.13,88600
2016-03-01,12.36,12.99,11.895,12.8,12.8,225600
2016-03-02,12.575,13.05,12.57,12.85,12.85,59200
2016-03-03,12.85,13.92,12.32,12.77,12.77,94700
2016-03-04,12.69,13.5,12.49,13.08,13.08,94400
2016-03-07,13.01,13.31,12.66,13.06,13.06,49100
2016-03-08,12.89,13.0,12.21,12.28,12.28,55000
2016-03-09,12.34,12.34,11.5,11.78,11.78,38700
2016-03-10,11.83,12.69,11.6,11.81,11.81,52500
2016-03-11,11.91,13.14,11.62,12.92,12.92,77500
2016-03-14,12.91,13.22,12.53,13.12,13.12,55300
2016-03-15,13.1,13.26,12.085,12.4,12.4,34400
2016-03-16,12.3,13.0,12.16,12.42,12.42,220300
2016-03-17,12.45,12.53,11.49,11.97,11.97,84600
2016-03-18,12.1,12.255,11.482,11.62,11.62,90900
2016-03-21,11.67,12.26,11.19,11.69,11.69,84900
2016-03-22,11.53,11.99,11.06,11.86,11.86,103900
2016-03-23,11.88,11.99,10.87,10.92,10.92,79400
2016-03-24,10.8,10.805,9.47,9.85,9.85,154400
2016-03-28,9.75,10.01,9.55,9.62,9.62,58500
2016-03-29,9.56,9.85,8.5,9.46,9.46,87800
2016-03-30,9.61,10.2,9.5,10.05,10.05,76000
2016-03-31,10.09,10.89,9.81,10.8,10.8,145700
2016-04-01,10.76,11.2,10.15,10.85,10.85,238000
2016-04-04,10.86,11.26,10.49,10.77,10.77,187100
2016-04-05,10.97,11.3,10.51,10.76,10.76,136200
2016-04-06,10.79,11.845,10.7,11.75,11.75,230700
2016-04-07,11.68,12.2,11.51,11.69,11.69,62100
2016-04-08,11.88,11.88,10.71,11.73,11.73,141000
2016-04-11,11.35,12.33,11.06,11.65,11.65,189500
2016-04-12,11.53,11.71,11.12,11.53,11.53,35500
2016-04-13,11.54,11.74,11.21,11.42,11.42,106500
2016-04-14,11.5,11.85,11.29,11.55,11.55,51300
2016-04-15,11.51,12.05,11.3,11.59,11.59,76000
2016-04-18,11.46,12.2,11.42,11.99,11.99,83000
2016-04-19,11.96,12.105,11.38,11.79,11.79,60000
2016-04-20,11.75,12.04,11.21,11.39,11.39,47000
2016-04-21,11.42,11.61,11.15,11.31,11.31,45900
2016-04-22,11.4,11.57,11.11,11.28,11.28,57200
2016-04-25,11.5,11.55,10.78,11.44,11.44,49900
2016-04-26,11.39,11.42,10.9,11.28,11.28,57900
2016-04-27,11.38,11.57,10.98,11.31,11.31,85600
2016-04-28,11.14,11.85,11.06,11.23,11.23,57400
2016-04-29,11.2,11.48,10.22,10.42,10.42,68900
2016-05-02,10.53,10.96,10.4,10.91,10.91,32800
2016-05-03,10.895,10.99,10.605,10.75,10.75,34200
2016-05-04,10.64,10.77,10.21,10.4,10.4,56200
2016-05-05,10.38,10.43,9.81,9.97,9.97,73500
2016-05-06,9.87,10.3,9.75,10.03,10.03,49600
2016-05-09,10.09,10.2,9.813,9.89,9.89,79400
2016-05-10,10.04,10.43,9.92,10.04,10.04,128100
2016-05-11,9.96,11.41,9.76,11.07,11.07,102100
2016-05-12,11.04,11.14,10.4,11.02,11.02,48900
2016-05-13,11.0,11.41,10.05,11.34,11.34,64200
2016-05-16,11.59,12.62,11.4,12.24,12.24,124700
2016-05-17,12.3,12.725,12.04,12.48,12.48,171400
2016-05-18,12.41,12.66,11.78,12.25,12.25,116000
2016-05-19,12.235,12.27,11.26,11.92,11.92,78600
2016-05-20,12.01,12.48,11.85,12.05,12.05,150900
2016-05-23,11.99,12.3,11.605,11.9,11.9,92200
2016-05-24,12.0,12.07,11.5,11.62,11.62,131500
2016-05-25,11.74,12.48,11.74,12.2,12.2,196200
2016-05-26,12.34,12.48,11.96,12.21,12.21,54900
2016-05-27,12.38,12.65,12.0,12.54,12.54,112600
2016-05-31,12.68,12.7,12.05,12.36,12.36,127700
2016-06-01,12.26,13.09,12.115,12.74,12.74,83400
2016-06-02,12.78,13.77,12.39,13.68,13.68,128500
2016-06-03,13.66,13.66,12.74,12.9,12.9,329900
2016-06-06,13.02,13.5,12.636,13.13,13.13,283900
2016-06-07,13.05,13.52,12.7,12.84,12.84,126400
2016-06-08,12.95,13.22,12.12,12.78,12.78,113700
2016-06-09,12.93,12.93,12.17,12.21,12.21,95200
2016-06-10,12.05,12.21,11.64,11.79,11.79,113200
2016-06-13,11.67,11.98,11.05,11.14,11.14,201600
2016-06-14,11.05,11.08,10.25,10.37,10.37,122400
2016-06-15,10.36,10.54,10.07,10.25,10.25,169000
2016-06-16,10.06,10.185,9.615,9.92,9.92,163000
2016-06-17,9.89,9.9,9.315,9.46,9.46,318800
2016-06-20,9.69,9.8,9.37,9.62,9.62,89900
2016-06-21,9.69,9.69,8.965,9.41,9.41,132200
2016-06-22,9.36,9.68,9.03,9.33,9.33,260200
2016-06-23,9.42,9.94,9.12,9.92,9.92,146700
2016-06-24,9.46,9.75,8.95,9.0,9.0,1685000
2016-06-27,8.93,9.015,7.945,8.0,8.0,179000
2016-06-28,8.0,8.24,7.98,8.05,8.05,141300
2016-06-29,8.14,8.187,7.71,7.84,7.84,167900
2016-06-30,7.92,8.16,7.92,8.0,8.0,307100
2016-07-01,8.0,8.36,7.87,7.99,7.99,130300
2016-07-05,8.11,8.11,7.75,7.87,7.87,576800
2016-07-06,7.8,8.16,7.665,7.86,7.86,270600
2016-07-07,7.92,8.09,7.8,7.99,7.99,130100
2016-07-08,8.09,8.4,7.98,8.14,8.14,171900
2016-07-11,8.12,8.232,7.91,7.93,7.93,110100
2016-07-12,8.05,8.08,7.87,7.98,7.98,218400
2016-07-13,8.04,8.23,7.56,7.58,7.58,171200
2016-07-14,7.71,7.76,7.26,7.44,7.44,244900
2016-07-15,7.52,7.99,7.35,7.9,7.9,274100
2016-07-18,7.9,7.9,7.57,7.67,7.67,74200
2016-07-19,7.68,7.85,7.23,7.32,7.32,272600
2016-07-20,7.38,7.58,7.07,7.53,7.53,86000
2016-07-21,7.56,7.91,7.56,7.85,7.85,131200
2016-07-22,7.91,8.15,7.828,7.92,7.92,86900
2016-07-25,7.97,7.97,7.52,7.77,7.77,160500
2016-07-26,7.75,7.96,7.75,7.87,7.87,60300
2016-07-27,7.85,8.35,7.85,8.27,8.27,84700
