Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,3.03,3.24,2.81,2.86,2.86,1064600
2016-01-05,2.9,3.0,2.83,2.97,2.97,1183400
2016-01-06,2.94,3.0,2.9,2.96,2.96,661900
2016-01-07,2.9,3.02,2.78,2.8,2.8,883000
2016-01-08,2.81,2.88,2.76,2.77,2.77,512800
2016-01-11,2.78,2.85,2.65,2.84,2.84,716300
2016-01-12,2.88,3.01,2.85,2.96,2.96,1212300
2016-01-13,2.98,3.0,2.77,2.77,2.77,766700
2016-01-14,2.81,2.95,2.64,2.91,2.91,601000
2016-01-15,2.81,2.85,2.7,2.84,2.84,352500
2016-01-19,2.9,2.95,2.7,2.75,2.75,450300
2016-01-20,2.7,2.93,2.68,2.88,2.88,1910100
2016-01-21,2.92,2.98,2.69,2.72,2.72,607200
2016-01-22,2.77,2.86,2.67,2.71,2.71,1911300
2016-01-25,2.71,2.84,2.7,2.74,2.74,1159400
2016-01-26,2.79,2.79,2.54,2.7,2.7,365000
2016-01-27,2.68,2.71,2.55,2.59,2.59,898900
2016-01-28,2.6,2.67,2.43,2.58,2.58,1252800
2016-01-29,2.56,2.77,2.56,2.75,2.75,454200
2016-02-01,2.76,2.87,2.69,2.72,2.72,491400
2016-02-02,2.69,2.84,2.62,2.71,2.71,458300
2016-02-03,2.73,2.82,2.57,2.67,2.67,327000
2016-02-04,2.66,2.84,2.61,2.69,2.69,324900
2016-02-05,2.69,2.69,2.5,2.51,2.51,447900
2016-02-08,2.5,2.53,2.28,2.4,2.4,820100
2016-02-09,2.33,2.52,2.32,2.36,2.36,251800
2016-02-10,2.37,2.52,2.33,2.34,2.34,397500
2016-02-11,2.29,2.48,2.21,2.4,2.4,347900
2016-02-12,2.47,2.5,2.34,2.47,2.47,499000
2016-02-16,2.49,2.52,2.29,2.37,2.37,1066200
2016-02-17,2.41,2.5,2.37,2.48,2.48,720600
2016-02-18,2.5,2.55,2.35,2.39,2.39,607900
2016-02-19,2.39,2.48,2.32,2.41,2.41,347000
2016-02-22,2.42,2.53,2.41,2.46,2.46,385100
2016-02-23,2.43,2.45,2.31,2.32,2.32,473800
2016-02-24,2.3,2.4,2.26,2.34,2.34,512200
2016-02-25,2.4,2.41,2.28,2.34,2.34,690700
2016-02-26,2.35,2.39,2.3,2.32,2.32,729600
2016-02-29,2.33,2.35,2.25,2.27,2.27,729300
2016-03-01,2.26,2.37,2.26,2.32,2.32,388500
2016-03-02,2.32,2.46,2.25,2.45,2.45,333200
2016-03-03,2.45,2.49,2.42,2.47,2.47,277300
2016-03-04,2.46,2.49,2.37,2.42,2.42,240400
2016-03-07,2.38,2.53,2.37,2.52,2.52,314300
