Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,18.67,19.24,18.5,18.889999,18.889999,391900
2016-01-05,18.889999,19.209999,18.26,18.26,18.26,241200
2016-01-06,17.879998999999998,18.24,17.639999,18.0,18.0,434700
2016-01-07,17.59,18.040001,17.02,17.6,17.6,434700
2016-01-08,17.629998999999998,18.469998999999998,17.360001,18.01,18.01,592400
2016-01-11,18.360001,18.719998999999998,17.0,17.370001000000002,17.370001000000002,604300
2016-01-12,17.540001,18.25,17.200001,17.950001,17.950001,558000
2016-01-13,18.08,18.209999,16.51,16.870001000000002,16.870001000000002,647200
2016-01-14,17.01,17.780001000000002,16.1,17.34,17.34,497000
2016-01-15,16.780001000000002,17.200001,16.49,16.879998999999998,16.879998999999998,741400
2016-01-19,17.0,17.290001,15.51,15.73,15.73,798600
2016-01-20,15.46,17.08,15.008,16.74,16.74,644800
2016-01-21,16.790001,17.440001000000002,16.4,16.59,16.59,450700
2016-01-22,16.92,17.030001000000002,16.24,16.700001,16.700001,579300
2016-01-25,16.610001,17.219998999999998,16.41,16.57,16.57,487300
2016-01-26,16.67,17.395,15.6,16.540001,16.540001,409800
2016-01-27,16.51,16.84,15.69,15.82,15.82,490200
2016-01-28,15.94,15.94,14.85,15.09,15.09,561800
2016-01-29,14.97,15.38,14.22,14.97,14.97,704300
2016-02-01,14.82,15.78,14.51,15.65,15.65,578800
2016-02-02,15.43,15.82,15.07,15.31,15.31,434000
2016-02-03,15.43,15.67,14.69,15.63,15.63,434900
2016-02-04,15.55,16.174999,15.05,15.76,15.76,601800
2016-02-05,15.62,15.8,14.84,14.93,14.93,676000
2016-02-08,14.71,14.82,13.99,14.16,14.16,614900
2016-02-09,14.05,14.91,13.55,13.74,13.74,596300
2016-02-10,13.55,13.95,11.75,13.64,13.64,1593900
2016-02-11,13.24,14.49,13.12,13.97,13.97,546800
2016-02-12,14.25,14.25,13.3441,14.0,14.0,353200
2016-02-16,14.14,14.4,13.94,14.2,14.2,346400
2016-02-17,14.31,15.14,14.13,14.83,14.83,528400
2016-02-18,15.03,15.03,14.08,14.19,14.19,481500
2016-02-19,14.12,14.91,13.91,14.61,14.61,476700
2016-02-22,14.81,15.32,14.64,14.81,14.81,277300
2016-02-23,14.78,15.22,14.47,14.5,14.5,292500
2016-02-24,14.27,15.04,14.04,14.98,14.98,341600
2016-02-25,15.02,15.23,14.29,14.6,14.6,688200
2016-02-26,14.97,15.45,14.48,14.56,14.56,522900
2016-02-29,14.61,14.85,14.09,14.23,14.23,539300
2016-03-01,14.26,14.94,14.13,14.92,14.92,596700
2016-03-02,14.97,15.63,14.52,15.4,15.4,509700
2016-03-03,15.35,15.44,14.0418,14.52,14.52,721200
2016-03-04,14.72,15.44,14.55,14.87,14.87,539900
2016-03-07,14.9,16.059998999999998,14.5,15.78,15.78,456000
2016-03-08,15.84,16.0156,14.97,15.21,15.21,483100
2016-03-09,15.23,15.95,14.33,14.82,14.82,651300
2016-03-10,14.9,15.51,14.15,14.49,14.49,276800
2016-03-11,14.58,15.17,14.3901,15.01,15.01,320600
2016-03-14,14.99,15.24,14.74,14.93,14.93,229600
2016-03-15,14.76,14.925,13.72,14.07,14.07,570700
2016-03-16,13.93,14.5,13.59,13.94,13.94,360100
2016-03-17,13.9,14.1,12.83,13.82,13.82,615000
2016-03-18,13.92,14.37,13.48,13.89,13.89,1110700
2016-03-21,13.86,14.05,13.565,13.81,13.81,508700
2016-03-22,13.72,14.42,13.47,13.9,13.9,571100
