Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,16.950001,16.950001,16.15,16.35,16.35,569400
2016-01-05,16.48,16.57,16.01,16.1,16.1,469700
2016-01-06,15.79,15.95,15.31,15.67,15.67,424500
2016-01-07,15.1,15.8,15.01,15.1,15.1,479200
2016-01-08,15.25,15.5,14.51,14.63,14.63,504400
2016-01-11,14.71,15.22,13.75,14.26,14.26,575300
2016-01-12,13.24,14.86,13.19,14.24,14.24,728900
2016-01-13,14.25,14.69,13.15,13.26,13.26,516200
2016-01-14,13.32,13.88,12.71,13.66,13.66,475600
2016-01-15,13.13,13.13,12.26,12.96,12.96,667200
2016-01-19,13.27,13.48,12.7,13.11,13.11,401300
2016-01-20,12.84,14.23,12.7,14.0,14.0,574500
2016-01-21,13.98,13.98,13.09,13.17,13.17,336800
2016-01-22,13.6,13.8,13.11,13.66,13.66,309200
2016-01-25,13.55,14.44,13.52,13.77,13.77,411100
2016-01-26,13.81,14.31,13.15,14.05,14.05,312300
2016-01-27,13.98,14.25,12.87,12.95,12.95,357700
2016-01-28,13.1,13.31,12.28,12.54,12.54,422500
2016-01-29,12.55,12.96,12.05,12.65,12.65,431500
2016-02-01,12.58,12.92,12.21,12.71,12.71,342400
2016-02-02,12.51,12.72,12.11,12.15,12.15,411600
2016-02-03,12.26,12.53,11.66,12.28,12.28,380400
2016-02-04,12.16,12.4,11.72,11.91,11.91,362600
2016-02-05,11.89,11.99,11.49,11.53,11.53,390500
2016-02-08,10.97,11.34,10.47,11.25,11.25,562500
2016-02-09,11.29,11.82,10.79,11.45,11.45,448600
2016-02-10,11.67,12.16,11.53,11.67,11.67,292900
2016-02-11,11.38,12.07,11.06,11.93,11.93,388300
2016-02-12,12.14,12.14,11.38,12.01,12.01,475800
2016-02-16,12.17,12.75,12.06,12.71,12.71,386300
2016-02-17,12.84,13.46,12.41,12.65,12.65,586000
2016-02-18,12.72,13.09,12.47,12.68,12.68,398200
