Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.59,5.6,5.25,5.37,5.37,1671500
2016-01-05,5.39,5.51,5.09,5.18,5.18,2642900
2016-01-06,5.09,5.15,4.9,5.05,5.05,2730600
2016-01-07,4.98,4.98,3.94,4.71,4.71,3784100
2016-01-08,4.68,4.75,4.08,4.14,4.14,5095300
2016-01-11,4.51,4.51,3.7,3.88,3.88,5092800
2016-01-12,3.92,4.15,3.92,4.14,4.14,3817400
2016-01-13,4.14,4.22,3.96,4.0,4.0,3933600
2016-01-14,4.07,4.48,3.88,4.42,4.42,4786800
2016-01-15,4.13,4.25,3.85,4.03,4.03,3238200
2016-01-19,4.06,4.12,3.65,3.74,3.74,2075800
2016-01-20,3.56,3.84,3.3,3.76,3.76,4333100
2016-01-21,3.78,4.25,3.69,4.01,4.01,2407200
2016-01-22,4.16,4.36,3.82,3.95,3.95,1745700
2016-01-25,3.96,4.14,3.92,3.98,3.98,1771100
2016-01-26,4.0,4.08,3.75,4.03,4.03,1853400
2016-01-27,4.03,4.11,3.73,3.78,3.78,2148100
2016-01-28,3.87,3.91,3.56,3.58,3.58,2237200
2016-01-29,3.6,3.78,3.56,3.75,3.75,2532500
2016-02-01,3.66,3.82,3.56,3.77,3.77,1571200
2016-02-02,3.69,3.71,3.49,3.62,3.62,1762300
2016-02-03,3.65,3.68,3.4,3.67,3.67,1704000
2016-02-04,3.64,3.95,3.6,3.82,3.82,1797200
2016-02-05,3.82,3.87,3.54,3.58,3.58,1633500
2016-02-08,3.53,3.55,3.2,3.31,3.31,3775800
2016-02-09,3.22,3.43,3.13,3.31,3.31,2526700
2016-02-10,3.31,3.55,3.21,3.44,3.44,2169500
2016-02-11,3.31,3.5,3.26,3.46,3.46,1358900
2016-02-12,3.56,3.62,3.43,3.6,3.6,1121700
2016-02-16,3.64,3.84,3.64,3.75,3.75,1292400
2016-02-17,3.77,4.02,3.77,4.0,4.0,1480500
2016-02-18,4.0,4.08,3.8,3.8,3.8,1184800
2016-02-19,3.8,3.84,3.66,3.75,3.75,1082400
2016-02-22,3.82,3.89,3.76,3.84,3.84,938200
2016-02-23,3.85,3.86,3.61,3.61,3.61,699100
2016-02-24,3.6,3.64,3.4,3.54,3.54,1589000
2016-02-25,3.56,3.74,3.53,3.7,3.7,1027200
2016-02-26,3.72,3.8,3.36,3.4,3.4,2842100
2016-02-29,3.44,3.44,3.04,3.12,3.12,3048500
2016-03-01,3.14,3.25,3.08,3.22,3.22,1298500
2016-03-02,3.23,3.43,3.21,3.41,3.41,4129100
2016-03-03,3.42,3.54,3.38,3.48,3.48,1461500
2016-03-04,3.5,3.67,3.41,3.47,3.47,1572100
2016-03-07,3.49,3.73,3.45,3.65,3.65,1442100
2016-03-08,3.63,3.68,3.34,3.37,3.37,1190000
2016-03-09,3.4,3.45,3.21,3.35,3.35,1088000
2016-03-10,3.34,3.55,3.28,3.43,3.43,3598700
2016-03-11,3.5,3.59,3.39,3.59,3.59,1445900
2016-03-14,3.55,3.85,3.55,3.76,3.76,1914500
2016-03-15,3.7,3.71,3.31,3.31,3.31,2993600
2016-03-16,3.35,3.45,3.21,3.25,3.25,1616100
2016-03-17,3.26,3.44,3.12,3.4,3.4,3042800
2016-03-18,3.51,3.52,2.71,2.94,2.94,10207800
2016-03-21,2.97,3.0,2.78,2.79,2.79,4985500
2016-03-22,2.75,2.8,2.59,2.59,2.59,5487200
2016-03-23,2.56,2.72,2.5,2.62,2.62,5536100
2016-03-24,2.63,2.89,2.54,2.78,2.78,6349900
2016-03-28,2.89,2.89,2.66,2.67,2.67,2195600
2016-03-29,2.62,2.79,2.6,2.76,2.76,2376800
2016-03-30,2.77,2.85,2.7,2.73,2.73,2178100
2016-03-31,2.7,2.79,2.68,2.76,2.76,2055600
2016-04-01,2.74,2.82,2.69,2.72,2.72,1909500
2016-04-04,2.75,3.01,2.7,2.92,2.92,3377300
2016-04-05,2.93,2.97,2.76,2.79,2.79,1538800
2016-04-06,2.8,2.93,2.78,2.93,2.93,2512200
2016-04-07,2.92,2.96,2.79,2.89,2.89,2231200
