Date,Open,High,Low,Close,Adj Close,Volume
2016-03-02,12.0,12.0,12.0,12.0,12.0,0.0
2016-03-03,12.11,12.79,11.75,12.01,12.01,1910800.0
2016-03-04,,,,,,
2016-03-07,11.65,11.68,10.85,11.0,11.0,114900.0
2016-03-08,10.81,14.4,10.6,13.55,13.55,174300.0
2016-03-09,13.5,16.299999,13.1,14.83,14.83,356600.0
2016-03-10,15.0,16.190001000000002,12.55,13.31,13.31,302300.0
2016-03-11,,,,,,
2016-03-14,12.9,12.904,11.52,12.0,12.0,152600.0
2016-03-15,11.75,12.572,11.75,12.29,12.29,34500.0
2016-03-16,12.08,12.35,11.09,11.72,11.72,43700.0
2016-03-17,11.78,12.29,11.13,11.24,11.24,86200.0
2016-03-18,11.71,11.9,11.01,11.52,11.52,71100.0
2016-03-21,11.85,12.03,11.06,11.91,11.91,22500.0
2016-03-22,12.12,13.46,11.52,13.31,13.31,110500.0
2016-03-23,13.24,13.95,12.11,12.79,12.79,141900.0
2016-03-24,13.17,13.19,12.02,12.62,12.62,28900.0
2016-03-28,12.95,13.87,12.8,13.56,13.56,138300.0
2016-03-29,13.94,14.237,12.7,13.24,13.24,59800.0
2016-03-30,,,,,,
2016-03-31,12.821,13.95,12.71,13.32,13.32,227900.0
2016-04-01,13.53,13.53,13.1,13.11,13.11,56500.0
2016-04-04,13.1,14.18,13.09,14.09,14.09,44300.0
2016-04-05,14.02,15.57,13.935,15.28,15.28,204200.0
2016-04-06,15.43,17.49,14.73,16.6,16.6,307800.0
2016-04-07,,,,,,
2016-04-08,16.49,16.49,14.031,15.13,15.13,175500.0
2016-04-11,15.1,15.62,14.52,15.18,15.18,103800.0
2016-04-12,15.21,15.8,14.685,15.3,15.3,56200.0
2016-04-13,,,,,,
2016-04-14,16.257998999999998,16.257998999999998,15.08,15.62,15.62,149200.0
2016-04-15,,,,,,
2016-04-18,15.67,16.040001,15.46,15.55,15.55,9100.0
2016-04-19,,,,,,
2016-04-20,15.9,15.95,15.069,15.86,15.86,18700.0
2016-04-21,15.476,16.0,15.25,15.72,15.72,20700.0
2016-04-22,15.66,15.96,15.66,15.8,15.8,18700.0
2016-04-25,15.89,15.9,15.0,15.16,15.16,65600.0
2016-04-26,15.29,15.55,14.5,15.45,15.45,44700.0
2016-04-27,14.9,15.36,14.15,14.41,14.41,63900.0
2016-04-28,14.24,14.482,13.7,13.79,13.79,33900.0
2016-04-29,13.78,14.0,13.66,13.69,13.69,16300.0
2016-05-02,14.104,15.07,13.729,14.85,14.85,22800.0
2016-05-03,14.7,15.24,13.75,14.83,14.83,67600.0
2016-05-04,14.24,14.75,14.04,14.04,14.04,23600.0
2016-05-05,14.211,14.72,13.95,14.01,14.01,17400.0
2016-05-06,14.0,14.69,14.0,14.49,14.49,16300.0
2016-05-09,14.69,14.69,14.233,14.32,14.32,5600.0
2016-05-10,14.46,14.46,13.76,13.81,13.81,3900.0
2016-05-11,,,,,,
2016-05-12,,,,,,
2016-05-13,,,,,,
2016-05-16,12.62,14.015,12.62,12.89,12.89,70100.0
2016-05-17,12.71,12.74,12.2,12.48,12.48,32500.0
2016-05-18,12.69,12.95,12.34,12.83,12.83,12400.0
2016-05-19,12.8,13.39,12.51,13.39,13.39,35500.0
2016-05-20,13.73,15.0,12.95,13.25,13.25,128800.0
2016-05-23,13.7,14.3,12.79,14.3,14.3,128400.0
2016-05-24,,,,,,
2016-05-25,14.16,14.19,13.23,13.72,13.72,134300.0
2016-05-26,13.54,14.15,13.16,14.08,14.08,113000.0
2016-05-27,,,,,,
2016-05-31,13.8,13.82,13.37,13.74,13.74,46200.0
2016-06-01,13.65,13.81,13.27,13.52,13.52,34000.0
2016-06-02,13.8,13.8,13.3,13.71,13.71,65500.0
2016-06-03,,,,,,
2016-06-06,13.73,14.0,13.35,13.8,13.8,74400.0
2016-06-07,14.12,14.75,14.12,14.23,14.23,183800.0
2016-06-08,14.72,14.8,14.098,14.24,14.24,36500.0
2016-06-09,14.11,14.5,13.45,13.58,13.58,17700.0
2016-06-10,13.56,13.72,13.05,13.17,13.17,45300.0
2016-06-13,14.49,14.49,12.71,12.98,12.98,66300.0
2016-06-14,13.71,13.74,12.308,12.65,12.65,180700.0
2016-06-15,13.09,13.09,12.3,12.63,12.63,130000.0
2016-06-16,12.99,12.99,12.44,12.61,12.61,82600.0
2016-06-17,12.14,12.77,12.14,12.32,12.32,230500.0
2016-06-20,13.08,13.08,12.33,12.55,12.55,78000.0
2016-06-21,12.57,12.58,11.112,11.63,11.63,184100.0
2016-06-22,11.6,11.92,11.23,11.37,11.37,64200.0
2016-06-23,11.515,11.62,11.05,11.52,11.52,45900.0
2016-06-24,11.31,11.5,10.4,10.66,10.66,462700.0
2016-06-27,10.46,10.51,8.97,9.06,9.06,69900.0
2016-06-28,,,,,,
2016-06-29,,,,,,
2016-06-30,9.85,10.979,9.62,9.85,9.85,115400.0
2016-07-01,9.98,10.37,9.7,9.92,9.92,63000.0
2016-07-05,10.03,10.65,9.6,9.8,9.8,59800.0
2016-07-06,9.9,10.36,9.658,10.17,10.17,32900.0
2016-07-07,10.16,10.37,9.87,10.31,10.31,55200.0
2016-07-08,,,,,,
2016-07-11,10.97,11.24,10.55,10.59,10.59,22700.0
2016-07-12,11.05,11.69,10.74,11.4,11.4,87300.0
2016-07-13,11.47,11.76,11.2,11.39,11.39,67700.0
2016-07-14,11.58,11.62,11.077,11.26,11.26,39100.0
2016-07-15,11.26,11.99,11.16,11.89,11.89,83300.0
2016-07-18,11.78,12.13,11.54,11.86,11.86,29900.0
2016-07-19,11.985,12.57,11.79,11.85,11.85,109300.0
2016-07-20,12.24,12.24,11.886,12.04,12.04,90200.0
2016-07-21,12.02,12.22,11.76,12.14,12.14,46000.0
2016-07-22,12.2,12.49,11.98,12.45,12.45,28700.0
2016-07-25,12.45,12.45,12.11,12.15,12.15,13000.0
2016-07-26,12.35,12.35,11.97,12.06,12.06,15400.0
2016-07-27,12.1,12.35,12.03,12.26,12.26,39600.0
2016-07-28,,,,,,
2016-07-29,12.18,12.43,12.01,12.42,12.42,26600.0
2016-08-01,12.44,12.83,12.21,12.22,12.22,27000.0
2016-08-02,12.3,12.61,12.3,12.46,12.46,24600.0
2016-08-03,12.63,12.63,12.47,12.62,12.62,14900.0
2016-08-04,12.62,12.9,12.54,12.54,12.54,10900.0
2016-08-05,,,,,,
2016-08-08,12.59,13.3,12.57,13.28,13.28,20700.0
2016-08-09,13.24,14.5,13.24,14.2,14.2,135700.0
2016-08-10,14.28,14.28,13.2,14.03,14.03,14000.0
2016-08-11,14.12,14.12,13.83,14.07,14.07,39100.0
2016-08-12,,,,,,
2016-08-15,14.0,14.46,13.678,14.08,14.08,100900.0
2016-08-16,14.21,14.24,13.92,14.01,14.01,29700.0
2016-08-17,13.8,14.29,13.765,14.06,14.06,44300.0
2016-08-18,14.19,14.19,13.85,13.92,13.92,27700.0
2016-08-19,13.93,14.07,13.8,13.85,13.85,35900.0
2016-08-22,14.26,14.94,13.92,14.94,14.94,31100.0
2016-08-23,15.0,18.030001000000002,14.95,17.129998999999998,17.129998999999998,335000.0
2016-08-24,17.25,17.445,14.67,14.82,14.82,157900.0
2016-08-25,14.78,15.18,13.35,13.69,13.69,64800.0
2016-08-26,13.59,14.4,13.549,14.15,14.15,66100.0
2016-08-29,14.2,14.42,14.07,14.42,14.42,16000.0
2016-08-30,,,,,,
2016-08-31,14.15,14.33,14.15,14.18,14.18,10100.0
2016-09-01,14.22,14.61,13.77,13.94,13.94,11700.0
2016-09-02,14.01,14.3,13.71,14.01,14.01,15100.0
2016-09-06,14.51,14.73,14.08,14.15,14.15,42800.0
2016-09-07,14.12,14.5,13.92,14.23,14.23,74200.0
2016-09-08,13.95,14.68,13.37,13.69,13.69,357000.0
2016-09-09,,,,,,
2016-09-12,13.27,14.11,13.16,13.56,13.56,62100.0
2016-09-13,13.98,13.98,12.573,13.26,13.26,131900.0
2016-09-14,13.48,14.24,13.47,14.08,14.08,41900.0
2016-09-15,14.44,15.17,14.23,14.89,14.89,125000.0
2016-09-16,,,,,,
2016-09-19,15.222,15.222,13.71,13.8,13.8,190800.0
2016-09-20,,,,,,
2016-09-21,14.04,14.129,13.52,14.04,14.04,58500.0
