Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,5.94,5.98,5.72,5.8,5.8,704700
2016-01-05,5.8,5.84,5.68,5.73,5.73,446200
2016-01-06,5.67,5.68,5.47,5.52,5.52,561400
2016-01-07,5.43,5.43,5.23,5.24,5.24,590300
2016-01-08,5.29,5.34,5.13,5.21,5.21,636500
2016-01-11,5.27,5.27,4.86,5.01,5.01,1055100
2016-01-12,5.05,5.29,4.96,5.19,5.19,1263300
2016-01-13,5.19,5.31,4.8,4.86,4.86,1102700
2016-01-14,4.92,5.2,4.73,5.04,5.04,1444600
2016-01-15,4.9,5.0,4.76,4.98,4.98,973200
2016-01-19,5.06,5.08,4.62,4.71,4.71,1064400
2016-01-20,4.63,5.04,4.51,4.99,4.99,1365700
2016-01-21,4.97,5.28,4.89,5.13,5.13,882000
2016-01-22,5.2,5.28,5.07,5.19,5.19,906500
2016-01-25,5.13,5.32,5.1,5.13,5.13,889900
2016-01-26,5.18,5.24,4.91,5.23,5.23,545100
2016-01-27,5.22,5.28,4.97,4.98,4.98,702800
2016-01-28,5.01,5.08,4.74,4.77,4.77,1049000
2016-01-29,4.81,4.96,4.72,4.96,4.96,896600
2016-02-01,4.91,4.99,4.65,4.84,4.84,1003200
2016-02-02,4.79,4.81,4.64,4.75,4.75,664900
2016-02-03,4.76,4.82,4.47,4.63,4.63,1018100
2016-02-04,4.61,4.91,4.61,4.74,4.74,661000
2016-02-05,4.72,4.75,4.54,4.63,4.63,945400
2016-02-08,4.58,4.59,4.25,4.39,4.39,950700
2016-02-09,4.28,4.52,4.14,4.28,4.28,924900
2016-02-10,4.35,4.7,4.29,4.42,4.42,704300
2016-02-11,4.32,4.41,4.26,4.35,4.35,623200
2016-02-12,4.39,4.53,4.28,4.52,4.52,675700
2016-02-16,4.53,4.6,4.35,4.49,4.49,1028900
2016-02-17,4.52,4.67,4.37,4.55,4.55,959500
2016-02-18,4.57,4.74,4.38,4.45,4.45,837000
2016-02-19,4.46,4.72,4.39,4.68,4.68,788300
2016-02-22,4.71,4.75,4.58,4.65,4.65,611300
2016-02-23,4.63,4.79,4.55,4.56,4.56,604600
2016-02-24,4.52,4.66,4.31,4.64,4.64,610900
2016-02-25,4.65,4.75,4.5,4.65,4.65,774900
2016-02-26,4.67,4.73,4.59,4.69,4.69,553800
2016-02-29,4.68,4.74,4.47,4.52,4.52,725000
2016-03-01,4.52,4.67,4.47,4.65,4.65,672200
2016-03-02,4.63,5.03,4.6,5.01,5.01,1263700
2016-03-03,4.98,5.18,4.89,4.93,4.93,631600
2016-03-04,4.92,5.22,4.87,5.05,5.05,840700
2016-03-07,5.01,5.45,4.94,5.36,5.36,837900
2016-03-08,5.33,5.33,5.03,5.07,5.07,702900
2016-03-09,5.06,5.08,4.85,5.01,5.01,820000
2016-03-10,5.16,5.57,5.11,5.47,5.47,1427000
2016-03-11,5.57,5.79,5.26,5.79,5.79,1291500
2016-03-14,5.84,6.07,5.79,5.85,5.85,1145600
2016-03-15,6.11,6.13,5.7,5.71,5.71,1320700
2016-03-16,5.63,5.66,5.45,5.62,5.62,1135800
2016-03-17,5.6,5.89,5.34,5.86,5.86,1387100
2016-03-18,5.91,6.1,5.85,5.96,5.96,3611600
2016-03-21,5.94,6.18,5.83,6.08,6.08,785400
2016-03-22,6.01,6.2,6.01,6.17,6.17,704000
2016-03-23,6.18,6.33,5.86,5.87,5.87,701000
2016-03-24,5.8,6.07,5.7,5.96,5.96,464500
2016-03-28,6.03,6.05,5.74,5.8,5.8,477500
2016-03-29,5.79,6.07,5.62,6.03,6.03,671900
2016-03-30,6.12,6.33,6.04,6.29,6.29,1119200
2016-03-31,6.29,6.45,6.16,6.36,6.36,764000
2016-04-01,6.33,6.48,6.28,6.47,6.47,714800
2016-04-04,6.46,6.86,6.44,6.72,6.72,1145800
2016-04-05,6.65,6.74,6.51,6.58,6.58,672000
2016-04-06,6.6,7.02,6.59,7.0,7.0,935700
2016-04-07,6.95,7.05,6.72,6.87,6.87,710200
2016-04-08,6.97,7.0,6.78,6.87,6.87,467700
2016-04-11,6.93,6.98,6.82,6.83,6.83,689400
2016-04-12,6.83,6.93,6.73,6.93,6.93,468400
2016-04-13,6.96,7.2,6.88,7.15,7.15,598900
2016-04-14,7.14,7.29,7.11,7.16,7.16,496700
2016-04-15,7.11,7.44,7.11,7.38,7.38,485700
2016-04-18,7.34,7.49,7.28,7.32,7.32,1003600
2016-04-19,7.33,7.34,7.14,7.25,7.25,654500
2016-04-20,7.41,7.49,7.25,7.35,7.35,528900
2016-04-21,7.34,7.42,7.27,7.41,7.41,545400
2016-04-22,7.39,7.62,7.39,7.6,7.6,431700
2016-04-25,7.63,7.74,7.56,7.65,7.65,391300
2016-04-26,7.65,7.65,7.2,7.24,7.24,616300
2016-04-27,7.19,7.22,7.02,7.14,7.14,485800
2016-04-28,7.14,7.39,7.0,7.16,7.16,459800
2016-04-29,7.14,7.25,7.03,7.09,7.09,416200
2016-05-02,7.14,7.3,7.02,7.3,7.3,407700
2016-05-03,7.2,7.24,7.06,7.13,7.13,589600
2016-05-04,7.09,7.09,6.92,6.96,6.96,578700
2016-05-05,6.91,7.0,6.4,6.4,6.4,1091200
2016-05-06,7.05,7.33,6.8,7.15,7.15,3089700
2016-05-09,7.21,7.33,6.96,7.27,7.27,1371500
2016-05-10,7.32,7.48,7.23,7.45,7.45,793600
