Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,37.849998,38.799999,37.330002,38.07,38.07,882400
2016-01-05,38.200001,38.630001,37.41,37.599998,37.599998,581200
2016-01-06,37.099998,37.799999,36.299999,36.720001,36.720001,1095300
2016-01-07,35.98,37.48,35.349998,36.209998999999996,36.209998999999996,958000
2016-01-08,36.57,37.169998,35.700001,35.93,35.93,944800
2016-01-11,36.119999,36.240002000000004,33.360001000000004,34.41,34.41,1421600
2016-01-12,34.919998,35.830002,32.610001000000004,33.990002000000004,33.990002000000004,1382300
2016-01-13,34.23,34.32,31.379998999999998,32.02,32.02,1346300
2016-01-14,32.279999,33.5,29.049999,31.629998999999998,31.629998999999998,3701600
2016-01-15,15.0,15.78,12.8,14.28,14.28,17601700
2016-01-19,14.39,14.75,12.5,13.44,13.44,5459800
2016-01-20,13.0,13.5,12.05,13.26,13.26,3033900
2016-01-21,13.49,13.49,11.7,11.97,11.97,3011900
2016-01-22,12.67,12.89,12.01,12.11,12.11,2668300
2016-01-25,12.03,12.95,11.81,12.08,12.08,1807500
2016-01-26,12.48,12.55,11.75,12.16,12.16,1792300
2016-01-27,12.1,12.34,11.74,11.93,11.93,1387600
2016-01-28,11.99,12.31,11.23,11.3,11.3,1206800
2016-01-29,11.24,11.96,11.1,11.88,11.88,1480400
2016-02-01,11.68,12.62,11.46,12.38,12.38,1619000
2016-02-02,12.19,12.64,12.03,12.22,12.22,1205300
2016-02-03,12.25,12.48,11.23,12.03,12.03,1586300
2016-02-04,11.95,12.53,11.59,12.23,12.23,844300
2016-02-05,12.08,12.28,11.68,12.22,12.22,1335400
2016-02-08,11.85,11.98,10.6,10.74,10.74,2234400
2016-02-09,10.64,11.44,10.2,11.18,11.18,1226500
2016-02-10,12.0,12.0,11.01,11.29,11.29,1138100
2016-02-11,11.08,11.94,10.96,11.73,11.73,1165000
2016-02-12,11.83,12.44,11.3,12.35,12.35,1160000
2016-02-16,12.5,13.08,12.39,12.95,12.95,1295300
2016-02-17,13.1,13.7,12.82,13.48,13.48,1400500
2016-02-18,13.87,13.92,13.22,13.36,13.36,1137500
2016-02-19,13.24,14.15,13.08,14.08,14.08,1209900
2016-02-22,14.34,15.5,14.33,15.18,15.18,1826600
2016-02-23,15.25,15.74,13.85,14.15,14.15,3773600
2016-02-24,14.08,14.52,13.31,14.43,14.43,1461100
2016-02-25,14.4,14.67,13.62,14.36,14.36,1181000
2016-02-26,14.05,14.52,12.7,13.27,13.27,2490400
2016-02-29,13.21,14.2,13.01,13.71,13.71,1188200
2016-03-01,13.75,13.85,13.31,13.49,13.49,1410700
2016-03-02,13.45,14.24,13.37,14.18,14.18,1448200
2016-03-03,14.2,14.46,13.99,14.27,14.27,648300
2016-03-04,14.33,14.62,14.02,14.29,14.29,758100
2016-03-07,14.19,14.99,13.99,14.88,14.88,963500
2016-03-08,14.83,15.74,14.21,14.44,14.44,3574000
2016-03-09,14.56,14.63,13.55,13.87,13.87,1611500
2016-03-10,14.21,16.1,14.14,15.91,15.91,3603400
