Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,13.16,13.44,12.9,13.14,13.14,766900
2016-01-05,13.23,13.89,12.95,13.43,13.43,596000
2016-01-06,13.32,13.32,12.59,12.7,12.7,614300
2016-01-07,12.39,12.84,12.22,12.78,12.78,819900
2016-01-08,12.91,12.91,11.61,11.69,11.69,930800
2016-01-11,11.82,11.83,10.75,11.25,11.25,1581500
2016-01-12,11.49,11.82,11.19,11.48,11.48,711600
2016-01-13,11.34,11.76,10.71,10.87,10.87,749000
2016-01-14,11.07,11.53,10.46,11.34,11.34,526100
2016-01-15,10.92,11.33,10.47,11.29,11.29,652000
2016-01-19,11.52,11.85,10.89,11.14,11.14,758300
2016-01-20,10.92,12.58,10.75,12.29,12.29,968400
2016-01-21,12.27,12.49,11.73,11.75,11.75,550000
2016-01-22,12.02,12.49,11.75,12.47,12.47,498000
2016-01-25,12.35,12.85,11.87,11.92,11.92,479700
2016-01-26,11.97,12.01,11.32,11.75,11.75,394200
2016-01-27,11.7,11.98,10.79,11.04,11.04,431800
2016-01-28,11.16,11.25,10.32,10.6,10.6,611600
2016-01-29,10.56,11.5,10.42,11.34,11.34,818900
2016-02-01,11.23,11.6,10.78,11.27,11.27,525300
2016-02-02,11.12,11.12,10.6,10.73,10.73,407300
2016-02-03,10.84,10.84,10.1,10.6,10.6,362200
2016-02-04,10.52,10.79,9.83,10.13,10.13,756200
2016-02-05,10.08,14.59,9.51,12.13,12.13,4673800
2016-02-08,12.24,13.94,11.79,12.54,12.54,2999200
2016-02-09,12.16,12.94,11.83,12.13,12.13,1210800
2016-02-10,12.31,13.27,12.2,12.48,12.48,911100
2016-02-11,12.17,12.48,11.98,12.36,12.36,614900
2016-02-12,12.46,12.86,12.05,12.84,12.84,640300
2016-02-16,13.04,13.26,12.73,13.14,13.14,559200
2016-02-17,13.24,13.71,12.83,13.35,13.35,567000
2016-02-18,13.32,13.32,12.84,13.12,13.12,598200
2016-02-19,13.01,13.79,12.75,13.64,13.64,562200
2016-02-22,13.89,13.91,13.4,13.62,13.62,589800
2016-02-23,13.42,13.76,13.15,13.35,13.35,437400
2016-02-24,13.13,13.7,12.92,13.53,13.53,397800
2016-02-25,13.57,13.61,12.8,13.19,13.19,515200
