Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,8.75,8.88,8.48,8.81,8.81,279400
2016-01-05,8.87,8.88,8.46,8.61,8.61,155100
2016-01-06,8.52,8.79,8.45,8.53,8.53,237700
2016-01-07,8.42,8.55,7.76,7.82,7.82,401100
2016-01-08,7.88,7.94,7.36,7.37,7.37,388300
2016-01-11,7.6,7.6,6.86,7.01,7.01,446300
2016-01-12,7.05,7.35,6.57,6.89,6.89,432600
2016-01-13,6.96,6.98,6.48,6.54,6.54,301800
2016-01-14,6.57,7.13,6.29,6.85,6.85,358400
2016-01-15,6.65,6.65,6.24,6.45,6.45,420200
2016-01-19,6.57,6.82,6.49,6.6,6.6,516200
2016-01-20,6.5,7.18,6.47,7.0,7.0,294200
2016-01-21,7.05,7.16,6.75,6.95,6.95,210200
2016-01-22,7.07,7.32,6.92,7.27,7.27,228900
2016-01-25,7.26,7.52,7.16,7.29,7.29,193400
2016-01-26,7.3,7.54,7.14,7.5,7.5,261800
2016-01-27,7.46,7.51,7.23,7.44,7.44,375600
2016-01-28,7.49,7.69,7.27,7.32,7.32,492800
2016-01-29,7.33,7.4,7.01,7.18,7.18,476600
2016-02-01,7.12,7.66,7.03,7.18,7.18,197000
2016-02-02,7.35,7.62,7.19,7.38,7.38,342900
2016-02-03,7.45,7.45,6.62,7.1,7.1,218700
2016-02-04,7.0,7.18,6.9,7.07,7.07,311200
2016-02-05,7.0,7.02,6.71,6.71,6.71,466300
2016-02-08,6.67,6.69,6.06,6.17,6.17,370700
2016-02-09,6.08,6.22,5.84,5.97,5.97,307200
2016-02-10,6.08,6.32,5.96,6.07,6.07,319600
2016-02-11,5.95,6.06,5.84,5.98,5.98,206400
2016-02-12,6.09,6.13,5.82,6.12,6.12,257100
2016-02-16,6.2,6.29,6.05,6.2,6.2,248300
2016-02-17,6.22,6.34,6.09,6.23,6.23,245700
2016-02-18,6.22,6.22,5.8,6.02,6.02,366600
2016-02-19,5.99,6.2,5.89,5.98,5.98,214100
2016-02-22,6.0,6.19,5.86,5.99,5.99,173100
2016-02-23,5.98,6.08,5.92,6.0,6.0,162300
2016-02-24,5.99,6.0,5.88,5.93,5.93,203300
2016-02-25,5.91,5.94,5.71,5.9,5.9,221600
2016-02-26,6.03,6.35,6.03,6.22,6.22,269800
2016-02-29,6.2,6.27,5.81,5.85,5.85,321500
2016-03-01,5.89,6.16,5.71,6.16,6.16,370400
2016-03-02,6.12,6.4,6.02,6.31,6.31,368800
2016-03-03,6.28,6.36,5.95,6.05,6.05,299500
2016-03-04,6.05,6.15,5.96,6.06,6.06,179700
2016-03-07,6.06,6.28,6.01,6.1,6.1,326000
2016-03-08,6.05,6.07,5.66,5.7,5.7,366600
2016-03-09,5.72,5.75,5.4,5.62,5.62,362000
2016-03-10,5.55,5.6,4.85,4.9,4.9,1713600
2016-03-11,4.93,4.99,4.53,4.92,4.92,805400
2016-03-14,5.0,5.42,5.0,5.37,5.37,562800
2016-03-15,5.28,5.29,4.91,5.09,5.09,593200
2016-03-16,5.05,5.12,4.78,4.8,4.8,526200
2016-03-17,4.81,4.91,4.5,4.62,4.62,575200
2016-03-18,4.66,4.69,4.46,4.6,4.6,614500
2016-03-21,4.8,4.93,4.67,4.86,4.86,435900
2016-03-22,4.8,5.07,4.79,5.04,5.04,359700
2016-03-23,4.99,5.08,4.76,4.8,4.8,359500
2016-03-24,4.75,4.91,4.7,4.8,4.8,218300
2016-03-28,4.79,4.82,4.6,4.8,4.8,483200
2016-03-29,4.75,4.75,4.63,4.72,4.72,513600
2016-03-30,4.8,4.88,4.64,4.66,4.66,316200
2016-03-31,4.64,5.0,4.63,4.9,4.9,627700
2016-04-01,4.85,5.08,4.79,5.05,5.05,321800
2016-04-04,5.03,5.35,5.03,5.23,5.23,381300
2016-04-05,5.19,5.21,5.01,5.06,5.06,302600
2016-04-06,5.07,5.47,5.05,5.36,5.36,383100
2016-04-07,5.37,5.56,5.31,5.34,5.34,282500
2016-04-08,5.37,5.37,5.16,5.17,5.17,150300
2016-04-11,5.2,5.3,5.09,5.18,5.18,151400
2016-04-12,5.15,5.26,5.0,5.12,5.12,157400
2016-04-13,5.14,5.35,5.08,5.3,5.3,363400
2016-04-14,5.33,5.45,5.25,5.39,5.39,191700
2016-04-15,5.35,5.73,5.35,5.65,5.65,334500
2016-04-18,5.63,5.64,5.51,5.59,5.59,204100
2016-04-19,5.64,5.69,5.43,5.44,5.44,166000
2016-04-20,5.43,5.6,5.41,5.53,5.53,123200
2016-04-21,5.54,5.78,5.54,5.77,5.77,345700
2016-04-22,5.76,5.94,5.75,5.8,5.8,264200
2016-04-25,5.76,5.76,5.52,5.64,5.64,236100
2016-04-26,5.66,5.66,5.32,5.38,5.38,397500
2016-04-27,5.35,5.53,5.12,5.15,5.15,473100
2016-04-28,5.15,5.26,5.01,5.07,5.07,337900
2016-04-29,5.58,6.19,5.41,5.52,5.52,1299400
2016-05-02,5.53,5.91,5.44,5.87,5.87,754900
2016-05-03,5.8,5.99,5.7,5.9,5.9,262200
2016-05-04,5.81,5.87,5.52,5.68,5.68,292800
2016-05-05,5.7,5.7,5.48,5.59,5.59,176100
2016-05-06,5.54,5.57,5.26,5.28,5.28,263000
2016-05-09,5.27,5.52,5.24,5.4,5.4,161600
2016-05-10,5.43,5.52,5.3,5.49,5.49,142500
2016-05-11,5.45,5.5,5.37,5.4,5.4,170400
2016-05-12,5.45,5.45,5.04,5.1,5.1,195600
2016-05-13,5.11,5.32,5.09,5.15,5.15,176100
2016-05-16,5.2,5.5,5.16,5.32,5.32,577700
2016-05-17,5.34,5.4,5.15,5.22,5.22,446600
2016-05-18,5.22,5.42,5.2,5.35,5.35,561100
2016-05-19,5.33,5.4,5.21,5.28,5.28,141800
2016-05-20,5.33,5.61,5.21,5.61,5.61,155500
