Date,Open,High,Low,Close,Adj Close,Volume
2017-04-13,10.27,12.45,10.25,12.45,12.45,1476773
2017-04-17,12.45,13.686,12.0,13.0,13.0,302600
2017-04-18,13.1,14.0,13.05,13.96,13.96,247800
2017-04-19,14.0,14.72,12.53,13.98,13.98,334400
2017-04-20,14.0,14.17,13.25,13.6,13.6,133100
2017-04-21,13.84,13.84,12.73,13.27,13.27,64200
2017-04-24,13.05,13.805,12.58,13.4,13.4,114300
2017-04-25,13.47,13.91,13.026,13.73,13.73,108700
2017-04-26,13.8,13.8,12.8,13.35,13.35,208900
2017-04-27,13.32,13.88,13.24,13.34,13.34,153100
2017-04-28,13.35,14.64,13.095,13.98,13.98,194000
2017-05-01,14.22,15.98,14.11,15.47,15.47,273500
2017-05-02,15.69,16.4,15.32,16.07,16.07,268300
2017-05-03,16.280001000000002,16.280001000000002,15.75,16.16,16.16,140500
2017-05-04,16.25,17.5,16.08,17.299999,17.299999,198800
2017-05-05,17.58,17.829,17.1,17.4,17.4,245200
2017-05-08,17.629998999999998,17.952999,16.65,16.99,16.99,266200
2017-05-09,17.09,17.299999,16.51,17.02,17.02,118400
2017-05-10,17.139999,17.5,16.57,16.690001000000002,16.690001000000002,130900
2017-05-11,16.440001000000002,17.15,16.129998999999998,16.559998999999998,16.559998999999998,203700
2017-05-12,16.639999,16.761999,16.049999,16.26,16.26,81200
2017-05-15,16.040001,16.583,15.5,15.84,15.84,111000
2017-05-16,15.79,15.97,14.52,14.6,14.6,103200
2017-05-17,14.43,14.9,13.08,14.5,14.5,183400
2017-05-18,14.41,15.75,14.41,14.85,14.85,32400
2017-05-19,14.74,16.0,14.7,15.69,15.69,83400
2017-05-22,15.85,16.02,15.29,15.91,15.91,76400
2017-05-23,15.59,16.25,15.41,15.96,15.96,67100
2017-05-24,14.96,16.25,14.7,15.97,15.97,79000
2017-05-25,16.049999,16.799999,15.92,16.639999,16.639999,84500
2017-05-26,16.950001,17.200001,16.1,16.32,16.32,118100
2017-05-30,16.280001000000002,16.895,15.841,16.34,16.34,62900
2017-05-31,16.93,17.25,15.15,15.99,15.99,129700
2017-06-01,16.0,16.360001,15.16,15.95,15.95,97600
2017-06-02,16.08,16.57,15.74,15.88,15.88,109700
2017-06-05,16.0,16.129998999999998,15.57,15.91,15.91,63000
2017-06-06,15.91,16.139999,15.65,15.99,15.99,50600
2017-06-07,16.07,16.23,15.541,16.09,16.09,73400
2017-06-08,16.34,16.34,15.585,15.86,15.86,56000
2017-06-09,16.0,16.309998999999998,15.565,16.059998999999998,16.059998999999998,45900
2017-06-12,16.0,16.110001,15.111,15.18,15.18,77700
2017-06-13,15.32,15.775,14.89,14.94,14.94,156600
2017-06-14,14.9,15.5,14.86,14.96,14.96,136500
2017-06-15,15.19,15.396,14.5,14.56,14.56,163700
2017-06-16,14.56,15.49,14.56,14.95,14.95,599000
2017-06-19,15.46,15.46,14.56,14.94,14.94,197600
2017-06-20,15.0,15.0,14.713,14.9,14.9,136300
2017-06-21,14.9,14.96,14.75,14.85,14.85,77800
2017-06-22,14.97,14.98,14.3,14.59,14.59,87300
2017-06-23,14.64,14.64,13.82,13.95,13.95,966000
2017-06-26,14.09,14.3,13.79,13.81,13.81,144900
2017-06-27,13.75,14.11,12.25,12.54,12.54,153100
2017-06-28,12.55,12.94,12.3,12.62,12.62,84300
2017-06-29,12.51,12.918,11.25,11.99,11.99,238300
2017-06-30,12.04,12.31,11.46,12.03,12.03,118300
2017-07-03,12.04,12.25,11.97,12.12,12.12,61300
2017-07-05,12.25,12.61,11.86,12.29,12.29,86100
2017-07-06,12.17,12.217,11.63,11.67,11.67,62100
2017-07-07,11.58,12.195,11.55,11.73,11.73,82400
2017-07-10,11.8,12.02,11.5,11.77,11.77,45400
2017-07-11,11.65,12.005,10.75,10.9,10.9,126000
2017-07-12,10.99,11.18,10.4,10.51,10.51,182800
2017-07-13,10.5,10.61,9.68,9.94,9.94,136500
2017-07-14,10.0,10.35,10.0,10.17,10.17,147100
2017-07-17,10.17,10.5,9.75,10.03,10.03,187100
2017-07-18,10.1,10.46,9.77,10.05,10.05,91700
2017-07-19,10.13,10.62,10.005,10.26,10.26,82300
2017-07-20,10.26,10.27,9.78,10.0,10.0,103000
2017-07-21,10.15,10.417,10.05,10.32,10.32,61500
2017-07-24,10.59,10.9,10.155,10.83,10.83,137600
2017-07-25,10.9,11.69,10.56,11.16,11.16,198700
2017-07-26,11.25,11.499,10.935,11.07,11.07,81800
2017-07-27,11.08,11.08,10.55,10.7,10.7,90100
2017-07-28,10.75,10.853,10.385,10.6,10.6,45200
2017-07-31,10.52,11.12,10.4,10.82,10.82,140200
2017-08-01,10.97,11.1,10.3,10.91,10.91,187800
2017-08-02,10.99,10.99,10.41,10.56,10.56,39400
2017-08-03,10.65,10.65,10.211,10.44,10.44,34100
2017-08-04,10.39,11.06,10.25,10.7,10.7,54800
2017-08-07,10.57,11.18,10.51,11.1,11.1,30800
2017-08-08,11.1,11.33,11.0,11.16,11.16,58100
2017-08-09,10.53,11.41,10.45,10.98,10.98,26200
2017-08-10,10.66,11.12,10.48,11.0,11.0,46300
2017-08-11,11.07,11.4,10.7,11.32,11.32,39700
2017-08-14,11.05,11.58,11.05,11.41,11.41,41400
2017-08-15,11.52,11.95,10.77,11.81,11.81,35700
2017-08-16,11.97,12.39,11.62,12.23,12.23,54700
2017-08-17,12.34,12.83,12.06,12.58,12.58,64400
2017-08-18,12.36,13.16,12.24,13.02,13.02,87300
2017-08-21,13.39,14.12,12.76,13.91,13.91,99400
2017-08-22,13.98,14.029,12.901,13.09,13.09,57100
2017-08-23,13.27,13.665,12.03,12.36,12.36,94200
2017-08-24,12.36,13.13,12.03,12.87,12.87,52900
2017-08-25,12.96,13.594,12.79,13.21,13.21,38800
2017-08-28,13.1,13.97,13.1,13.46,13.46,101200
2017-08-29,13.3,13.49,13.06,13.33,13.33,42900
2017-08-30,13.45,14.0,13.32,13.96,13.96,79800
2017-08-31,14.0,14.1,13.53,13.91,13.91,55500
2017-09-01,13.934,14.005,13.5,13.79,13.79,62200
2017-09-05,13.9,13.9,13.22,13.5,13.5,55700
2017-09-06,13.4,13.912,13.2,13.31,13.31,33400
2017-09-07,13.3,13.56,13.005,13.27,13.27,47600
2017-09-08,13.2,13.23,12.44,12.6,12.6,81700
2017-09-11,12.7,12.81,11.952,12.2,12.2,56800
2017-09-12,12.16,12.16,11.51,12.08,12.08,38500
2017-09-13,12.1,12.628,11.65,12.49,12.49,57300
2017-09-14,12.4,12.88,12.33,12.75,12.75,149000
2017-09-15,12.7,12.921,12.369,12.64,12.64,158700
2017-09-18,12.61,13.57,12.46,13.1,13.1,207300
