Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.74,9.98,9.56,9.68,9.68,644800
2016-01-05,9.66,9.68,8.63,8.72,8.72,1144800
2016-01-06,8.63,8.69,7.95,8.47,8.47,1095800
2016-01-07,8.2,8.32,7.47,7.55,7.55,910900
2016-01-08,7.61,7.83,7.01,7.15,7.15,968700
2016-01-11,7.2,7.32,5.89,6.1,6.1,2379800
2016-01-12,6.13,6.42,5.81,6.09,6.09,833200
2016-01-13,6.14,6.26,5.51,5.53,5.53,924800
2016-01-14,5.56,6.2,5.21,6.0,6.0,1374100
2016-01-15,5.71,5.71,5.35,5.69,5.69,924400
2016-01-19,5.6,5.78,4.91,5.21,5.21,1339400
2016-01-20,5.03,5.47,4.7,5.27,5.27,1908100
2016-01-21,5.35,5.68,5.22,5.48,5.48,916000
2016-01-22,5.68,6.02,5.63,5.97,5.97,837200
2016-01-25,5.93,6.075,5.35,5.43,5.43,870200
2016-01-26,5.64,5.84,5.17,5.76,5.76,811600
2016-01-27,5.74,5.74,5.18,5.36,5.36,848100
2016-01-28,5.55,5.56,5.1,5.2,5.2,357500
2016-01-29,5.4,5.51,5.15,5.44,5.44,670600
2016-02-01,5.37,5.47,5.16,5.31,5.31,536300
2016-02-02,5.16,5.28,5.05,5.16,5.16,437500
2016-02-03,5.2,5.32,4.85,5.1,5.1,498600
2016-02-04,4.98,5.44,4.875,4.99,4.99,959400
2016-02-05,4.97,5.01,4.74,4.75,4.75,1097100
2016-02-08,4.67,4.7,4.34,4.48,4.48,1222600
2016-02-09,4.39,4.91,4.13,4.52,4.52,1075700
2016-02-10,4.63,4.76,4.37,4.39,4.39,613200
2016-02-11,4.28,4.43,4.15,4.25,4.25,647400
2016-02-12,4.31,4.42,4.1,4.23,4.23,673300
2016-02-16,4.32,4.359,4.045,4.09,4.09,3068300
2016-02-17,4.16,4.79,4.15,4.67,4.67,1831200
2016-02-18,4.68,4.73,4.35,4.39,4.39,426900
2016-02-19,4.35,4.85,4.26,4.81,4.81,884400
2016-02-22,4.89,5.15,4.46,4.7,4.7,1339400
2016-02-23,5.06,5.249,4.7,4.8,4.8,1307600
2016-02-24,4.37,4.49,3.68,4.33,4.33,2234600
2016-02-25,4.38,4.6,4.163,4.46,4.46,1857500
2016-02-26,4.58,4.58,4.32,4.34,4.34,838300
2016-02-29,4.35,4.4,3.96,4.04,4.04,1164200
2016-03-01,4.13,4.26,3.91,4.14,4.14,997400
2016-03-02,4.16,4.47,4.08,4.34,4.34,1201000
2016-03-03,4.29,4.42,4.2,4.22,4.22,802200
2016-03-04,4.25,4.45,4.17,4.35,4.35,830400
2016-03-07,4.29,4.83,4.25,4.75,4.75,920700
2016-03-08,4.7,4.71,4.47,4.49,4.49,804300
2016-03-09,4.54,4.57,4.22,4.39,4.39,624100
2016-03-10,4.39,4.64,4.13,4.19,4.19,577700
2016-03-11,4.22,4.45,4.12,4.34,4.34,771500
2016-03-14,4.25,4.52,4.23,4.38,4.38,889300
2016-03-15,4.34,4.36,3.94,3.98,3.98,995600
2016-03-16,3.98,4.1,3.7,3.79,3.79,982800
2016-03-17,3.8,3.93,3.48,3.6,3.6,1179200
2016-03-18,3.62,4.09,3.51,4.03,4.03,3382500
2016-03-21,4.0,4.29,3.978,4.1,4.1,803600
2016-03-22,4.08,4.36,4.05,4.26,4.26,557700
2016-03-23,4.22,4.3,3.86,3.89,3.89,798300
2016-03-24,3.84,4.32,3.72,4.11,4.11,1407700
2016-03-28,4.12,4.23,3.97,4.09,4.09,717600
2016-03-29,4.04,4.35,3.86,4.27,4.27,714800
2016-03-30,4.33,4.49,4.28,4.38,4.38,429900
2016-03-31,4.31,4.78,4.23,4.63,4.63,782600
2016-04-01,4.55,4.83,4.41,4.74,4.74,844200
2016-04-04,4.76,4.904,4.66,4.8,4.8,843900
2016-04-05,4.75,4.77,4.57,4.76,4.76,545300
2016-04-06,4.78,5.39,4.76,5.28,5.28,872500
2016-04-07,5.22,6.13,5.17,5.84,5.84,2052400
2016-04-08,5.95,6.099,5.0,5.06,5.06,1766900
2016-04-11,5.26,5.359,4.71,4.79,4.79,966100
2016-04-12,4.79,4.79,4.33,4.71,4.71,990100
