Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.92,10.17,9.65,9.81,9.81,2363500
2016-01-05,9.79,9.85,9.29,9.31,9.31,2507300
2016-01-06,8.74,8.98,8.26,8.38,8.38,5607300
2016-01-07,8.47,9.58,8.41,8.72,8.72,9594900
2016-01-08,8.87,8.9,8.24,8.38,8.38,2839400
2016-01-11,8.45,8.55,7.6,7.79,7.79,3402000
2016-01-12,7.9,8.03,7.53,7.9,7.9,1900500
2016-01-13,7.9,8.06,7.25,7.3,7.3,2074400
2016-01-14,7.25,7.79,6.91,7.58,7.58,2681900
2016-01-15,7.29,7.59,7.11,7.49,7.49,2658000
2016-01-19,7.71,7.75,6.99,7.31,7.31,2685700
2016-01-20,7.11,7.6,6.73,7.47,7.47,2982300
2016-01-21,7.25,7.82,7.1,7.59,7.59,2936000
2016-01-22,7.66,7.91,7.55,7.89,7.89,2034600
2016-01-25,7.72,8.15,7.55,7.6,7.6,1873000
2016-01-26,7.62,7.72,7.27,7.53,7.53,1938200
2016-01-27,7.35,7.6,7.17,7.3,7.3,2511700
2016-01-28,7.34,7.4,6.95,6.98,6.98,2130400
2016-01-29,7.01,7.25,6.69,7.15,7.15,5340200
2016-02-01,6.98,7.13,6.74,7.1,7.1,2399600
2016-02-02,6.97,7.04,6.7,6.87,6.87,1964800
2016-02-03,6.91,6.99,6.59,6.8,6.8,2126600
2016-02-04,6.73,7.04,6.5,6.74,6.74,3508900
2016-02-05,6.74,6.74,6.38,6.39,6.39,2150100
2016-02-08,6.28,6.31,5.82,5.98,5.98,2319400
2016-02-09,5.92,6.22,5.81,6.18,6.18,2108400
2016-02-10,6.21,6.42,6.09,6.15,6.15,1483800
2016-02-11,5.94,6.23,5.94,6.2,6.2,1463200
2016-02-12,6.25,6.25,5.98,6.15,6.15,1321700
2016-02-16,6.25,6.35,6.09,6.17,6.17,1511000
2016-02-17,6.27,6.5,6.13,6.48,6.48,1733800
2016-02-18,6.52,6.52,6.07,6.09,6.09,1096100
2016-02-19,6.07,6.17,5.81,6.12,6.12,1550400
2016-02-22,6.25,6.35,5.98,6.19,6.19,1193100
2016-02-23,6.14,6.2,5.96,5.97,5.97,857200
2016-02-24,5.95,6.03,5.76,5.99,5.99,1145300
2016-02-25,6.29,6.29,5.83,6.0,6.0,957100
2016-02-26,6.1,6.16,5.69,6.12,6.12,2069500
2016-02-29,6.18,6.31,5.98,6.11,6.11,1542600
2016-03-01,6.1,6.27,6.02,6.22,6.22,1593000
2016-03-02,6.27,6.41,6.18,6.24,6.24,1311200
2016-03-03,6.23,6.62,6.2,6.56,6.56,1992000
2016-03-04,6.65,7.14,6.56,7.04,7.04,3490800
2016-03-07,6.97,7.37,6.8,7.21,7.21,2035200
2016-03-08,7.28,7.28,6.48,6.48,6.48,1918800
2016-03-09,6.48,6.59,6.2,6.38,6.38,1140800
2016-03-10,6.4,6.56,6.12,6.28,6.28,1075800
2016-03-11,6.37,6.77,6.34,6.76,6.76,1847500
2016-03-14,6.71,6.85,6.53,6.71,6.71,927200
2016-03-15,6.84,6.84,6.04,6.06,6.06,1712500
2016-03-16,6.05,6.32,5.98,6.22,6.22,1571400
2016-03-17,6.38,6.4,5.81,5.97,5.97,1594400
2016-03-18,6.21,6.25,5.93,6.13,6.13,3296700
2016-03-21,6.08,6.31,6.08,6.27,6.27,1010700
2016-03-22,6.22,6.58,6.19,6.42,6.42,632300
2016-03-23,6.42,6.49,6.07,6.19,6.19,1487900
2016-03-24,6.1,6.32,6.03,6.25,6.25,930100
2016-03-28,6.25,6.35,6.12,6.2,6.2,808400
2016-03-29,6.16,6.5,6.07,6.5,6.5,1496300
2016-03-30,6.55,6.64,6.37,6.43,6.43,1226200
2016-03-31,6.45,6.47,6.31,6.4,6.4,1109700
2016-04-01,6.32,6.63,6.2,6.62,6.62,868700
2016-04-04,7.09,7.55,6.75,7.25,7.25,3390200
2016-04-05,7.48,7.52,7.09,7.22,7.22,1723200
2016-04-06,7.24,7.86,7.19,7.73,7.73,2045000
2016-04-07,7.64,7.99,7.6,7.85,7.85,1739300
2016-04-08,7.96,8.0,7.72,7.79,7.79,1151100
2016-04-11,7.84,7.84,7.53,7.63,7.63,1194700
2016-04-12,7.63,7.71,7.25,7.65,7.65,1239800
2016-04-13,7.7,7.75,7.54,7.74,7.74,808500
2016-04-14,7.79,8.0,7.64,7.82,7.82,911100
2016-04-15,7.8,7.97,7.71,7.94,7.94,794400
2016-04-18,7.94,8.13,7.74,7.98,7.98,1140500
2016-04-19,8.0,8.06,7.86,7.91,7.91,1017800
2016-04-20,7.94,8.05,7.85,8.02,8.02,704900
2016-04-21,7.97,8.23,7.97,8.2,8.2,2169000
2016-04-22,8.17,8.53,8.17,8.42,8.42,1221900
2016-04-25,8.43,8.59,8.26,8.54,8.54,1466300
2016-04-26,8.55,8.6,8.31,8.47,8.47,952500
2016-04-27,8.47,8.47,8.32,8.39,8.39,904400
2016-04-28,8.35,8.53,8.26,8.44,8.44,980200
2016-04-29,8.42,8.49,8.11,8.25,8.25,1205100
2016-05-02,8.32,8.41,8.12,8.41,8.41,815900
2016-05-03,8.43,8.64,8.25,8.43,8.43,1535600
2016-05-04,8.21,8.43,7.45,7.92,7.92,2843600
2016-05-05,7.94,8.02,7.83,7.92,7.92,1499200
2016-05-06,7.83,7.95,7.71,7.75,7.75,2014700
2016-05-09,7.8,7.82,7.69,7.75,7.75,917400
2016-05-10,7.83,7.87,7.69,7.77,7.77,683300
2016-05-11,7.76,7.8,7.61,7.61,7.61,885500
2016-05-12,7.64,7.69,7.36,7.41,7.41,1067600
2016-05-13,7.38,7.74,7.25,7.7,7.7,903300
2016-05-16,7.75,7.95,7.69,7.89,7.89,1165600
2016-05-17,7.87,8.18,7.76,7.8,7.8,1291800
2016-05-18,7.86,8.2,7.8,7.98,7.98,956000
2016-05-19,7.9,8.05,7.64,7.84,7.84,1177200
2016-05-20,7.89,8.17,7.8,8.17,8.17,1201400
2016-05-23,8.2,8.74,8.07,8.58,8.58,1832000
2016-05-24,8.61,8.68,8.42,8.61,8.61,1544100
2016-05-25,8.65,8.92,8.56,8.79,8.79,1317100
2016-05-26,8.8,8.81,8.66,8.66,8.66,775000
2016-05-27,8.71,8.8,8.62,8.8,8.8,900600
2016-05-31,8.75,9.03,8.71,8.94,8.94,1414600
2016-06-01,9.01,9.07,8.77,8.79,8.79,1417200
2016-06-02,8.73,8.91,8.68,8.86,8.86,1146600
2016-06-03,8.77,9.21,8.63,9.13,9.13,1680200
2016-06-06,9.16,9.29,8.99,9.05,9.05,1474100
2016-06-07,9.0,9.05,8.8,8.94,8.94,824800
2016-06-08,8.93,9.04,8.88,8.97,8.97,734900
2016-06-09,8.99,9.21,8.93,9.03,9.03,1078000
2016-06-10,8.86,9.03,8.78,8.81,8.81,667700
2016-06-13,8.78,9.05,8.58,8.58,8.58,859200
2016-06-14,8.55,8.74,8.31,8.54,8.54,818300
2016-06-15,8.63,8.66,8.39,8.45,8.45,625500
2016-06-16,8.41,8.45,8.02,8.22,8.22,1685900
2016-06-17,8.24,8.54,8.13,8.39,8.39,4735800
2016-06-20,8.45,8.8,8.37,8.72,8.72,1021200
2016-06-21,8.75,8.75,8.39,8.62,8.62,1034600
2016-06-22,8.66,8.88,8.46,8.58,8.58,919000
2016-06-23,8.57,8.85,8.57,8.85,8.85,720800
2016-06-24,8.21,8.68,8.21,8.32,8.32,2612800
2016-06-27,8.23,8.3,7.98,8.24,8.24,1415100
2016-06-28,8.38,8.73,8.33,8.61,8.61,1367000
2016-06-29,8.77,8.83,8.48,8.71,8.71,972100
2016-06-30,8.67,8.69,8.4,8.5,8.5,1384600
2016-07-01,8.54,8.72,8.44,8.7,8.7,806700
2016-07-05,8.62,8.72,8.42,8.62,8.62,943300
2016-07-06,8.61,8.7,8.45,8.46,8.46,1109300
2016-07-07,8.43,8.5,8.3,8.33,8.33,990500
2016-07-08,8.31,8.39,8.1,8.22,8.22,3933300
2016-07-11,8.25,8.35,8.1,8.12,8.12,1552500
2016-07-12,8.17,8.32,8.1,8.11,8.11,749800
2016-07-13,8.1,8.14,7.58,7.61,7.61,1710200
2016-07-14,7.61,8.08,7.61,7.94,7.94,3465300
2016-07-15,8.02,8.08,7.91,8.0,8.0,660600
2016-07-18,8.07,8.1,7.92,8.06,8.06,886000
2016-07-19,8.01,8.14,7.71,7.85,7.85,911000
2016-07-20,7.87,8.08,7.72,7.96,7.96,817500
2016-07-21,8.01,8.13,7.73,7.98,7.98,3718000
2016-07-22,7.96,7.97,7.75,7.78,7.78,562200
2016-07-25,7.82,7.94,7.56,7.61,7.61,938900
2016-07-26,7.63,7.67,7.53,7.62,7.62,645700
2016-07-27,7.65,7.86,7.61,7.81,7.81,799600
2016-07-28,7.83,7.89,7.58,7.73,7.73,926300
2016-07-29,7.68,8.07,7.68,7.77,7.77,1022700
2016-08-01,7.8,7.87,7.66,7.77,7.77,1124900
2016-08-02,7.81,7.83,7.6,7.71,7.71,662500
2016-08-03,7.73,7.79,7.64,7.7,7.7,906500
2016-08-04,7.75,7.81,7.61,7.66,7.66,1119800
2016-08-05,7.51,7.92,7.51,7.76,7.76,916900
2016-08-08,7.75,7.9,7.75,7.86,7.86,879300
2016-08-09,7.88,7.95,7.81,7.86,7.86,537900
2016-08-10,7.89,7.91,7.48,7.49,7.49,638900
2016-08-11,7.49,7.6,7.06,7.22,7.22,1985200
2016-08-12,7.24,7.29,7.1,7.24,7.24,1041400
2016-08-15,7.3,7.4,7.12,7.2,7.2,1014900
2016-08-16,7.21,7.3,7.07,7.19,7.19,859400
2016-08-17,7.25,7.26,7.14,7.21,7.21,645800
2016-08-18,7.16,7.3,7.15,7.27,7.27,509000
2016-08-19,7.24,7.27,6.69,6.9,6.9,2214500
2016-08-22,6.87,7.03,6.77,6.99,6.99,617600
2016-08-23,6.94,7.15,6.94,7.1,7.1,833800
2016-08-24,6.97,7.29,6.86,6.89,6.89,818700
2016-08-25,6.92,6.95,6.51,6.61,6.61,1283800
2016-08-26,6.6,6.92,6.5,6.89,6.89,1273300
2016-08-29,6.88,6.96,6.65,6.73,6.73,866600
2016-08-30,6.8,7.32,6.76,6.88,6.88,1420000
2016-08-31,6.88,6.98,6.7,6.88,6.88,1002900
2016-09-01,7.01,7.15,6.84,7.03,7.03,1020400
2016-09-02,7.12,7.12,6.88,6.99,6.99,791000
2016-09-06,7.03,7.14,7.0,7.11,7.11,1335300
2016-09-07,7.1,7.12,6.88,6.94,6.94,787600
2016-09-08,6.96,7.08,6.9,6.96,6.96,527200
2016-09-09,7.04,7.04,6.46,6.49,6.49,1301500
2016-09-12,6.38,6.71,6.38,6.7,6.7,1760200
2016-09-13,6.67,6.68,6.28,6.49,6.49,1287800
2016-09-14,6.57,6.65,6.44,6.45,6.45,678000
2016-09-15,6.47,6.56,6.36,6.56,6.56,1202000
2016-09-16,6.6,6.89,6.58,6.75,6.75,2941200
2016-09-19,6.81,6.87,6.5,6.67,6.67,1640200
2016-09-20,7.16,7.21,6.54,6.57,6.57,2010200
2016-09-21,6.58,6.66,6.23,6.32,6.32,3077600
2016-09-22,6.39,6.39,6.22,6.26,6.26,2737200
2016-09-23,6.26,6.43,6.18,6.41,6.41,1912100
2016-09-26,6.53,6.67,6.39,6.54,6.54,1608700
2016-09-27,6.58,6.78,6.4,6.72,6.72,1932300
2016-09-28,6.6,6.86,6.49,6.77,6.77,1697900
2016-09-29,6.61,6.78,6.59,6.65,6.65,2696000
2016-09-30,6.65,7.0,6.52,6.81,6.81,3623000
2016-10-03,6.81,6.94,6.74,6.89,6.89,1846600
2016-10-04,6.93,7.03,6.78,6.85,6.85,1224700
2016-10-05,6.74,7.0,6.65,6.7,6.7,1383600
2016-10-06,6.81,6.81,6.54,6.6,6.6,712000
2016-10-07,6.63,6.65,6.49,6.63,6.63,803400
2016-10-10,6.69,6.93,6.53,6.9,6.9,1061900
2016-10-11,6.91,6.91,6.68,6.71,6.71,1089500
2016-10-12,6.67,6.72,6.37,6.41,6.41,745100
2016-10-13,6.33,6.5,6.28,6.35,6.35,1124300
2016-10-14,6.49,6.49,6.19,6.23,6.23,1136500
2016-10-17,6.21,6.28,6.0,6.16,6.16,1793800
2016-10-18,6.35,6.35,6.11,6.24,6.24,1274000
2016-10-19,6.38,6.38,5.99,5.99,5.99,1369400
2016-10-20,6.0,6.46,5.93,6.34,6.34,5209100
2016-10-21,6.44,6.44,6.19,6.22,6.22,1919300
2016-10-24,6.39,6.42,6.13,6.2,6.2,1664100
2016-10-25,6.32,6.33,6.09,6.21,6.21,1667000
2016-10-26,6.24,6.28,6.03,6.19,6.19,1663900
2016-10-27,6.23,6.25,5.76,5.85,5.85,2442200
2016-10-28,5.78,5.84,5.61,5.64,5.64,2318800
2016-10-31,5.63,5.76,5.57,5.74,5.74,1697500
2016-11-01,5.77,5.78,5.5,5.52,5.52,2403900
2016-11-02,5.5,5.51,5.09,5.12,5.12,2829800
2016-11-03,5.05,5.26,4.67,4.72,4.72,2970000
2016-11-04,4.8,5.33,4.39,5.12,5.12,3391000
2016-11-07,5.53,5.88,5.26,5.68,5.68,3178000
2016-11-08,5.61,5.72,5.57,5.66,5.66,1686400
2016-11-09,5.58,6.18,5.49,6.18,6.18,3678000
2016-11-10,6.27,6.6,6.03,6.33,6.33,2422300
2016-11-11,6.33,6.56,6.19,6.54,6.54,2601000
2016-11-14,6.8,6.8,6.54,6.69,6.69,1821700
2016-11-15,6.64,6.73,6.4,6.67,6.67,2135700
2016-11-16,6.65,6.9,6.58,6.73,6.73,1494700
2016-11-17,6.65,6.97,6.65,6.91,6.91,1769500
2016-11-18,6.97,7.02,6.85,6.88,6.88,1501300
2016-11-21,6.76,7.02,6.76,6.96,6.96,1599900
2016-11-22,7.31,7.48,7.01,7.31,7.31,5764800
2016-11-23,7.4,7.44,7.1,7.15,7.15,2223000
2016-11-25,7.18,7.31,7.01,7.1,7.1,865300
2016-11-28,7.12,7.12,6.73,6.79,6.79,2153400
2016-11-29,6.5,6.5,5.41,5.74,5.74,17484500
2016-11-30,5.88,6.25,5.88,5.94,5.94,4500300
2016-12-01,6.0,6.09,5.7,5.9,5.9,3404400
2016-12-02,5.94,6.17,5.88,6.13,6.13,2398500
2016-12-05,6.37,6.44,6.02,6.17,6.17,6283100
2016-12-06,7.31,7.35,6.5,6.96,6.96,27987600
2016-12-07,7.08,7.2,6.57,6.66,6.66,8485700
2016-12-08,6.6,6.65,6.0,6.16,6.16,7092000
2016-12-09,6.24,6.34,6.07,6.16,6.16,3194300
2016-12-12,6.16,6.37,5.8,5.88,5.88,3243000
2016-12-13,5.85,6.09,5.74,5.79,5.79,2329800
2016-12-14,5.79,5.8,5.49,5.61,5.61,3592600
2016-12-15,5.6,5.76,5.47,5.54,5.54,2734400
2016-12-16,5.9,6.2,5.67,5.8,5.8,6650600
2016-12-19,5.9,6.16,5.88,5.97,5.97,2685900
2016-12-20,5.91,6.03,5.79,5.89,5.89,2126400
2016-12-21,5.83,5.92,5.68,5.68,5.68,2383900
2016-12-22,5.7,5.95,5.66,5.71,5.71,1810600
2016-12-23,5.72,6.03,5.72,5.98,5.98,1780900
2016-12-27,6.18,6.18,6.03,6.06,6.06,2368500
2016-12-28,6.09,6.09,5.84,5.98,5.98,3938100
2016-12-29,5.93,6.03,5.76,5.86,5.86,2561700
2016-12-30,5.82,6.01,5.75,5.77,5.77,1974800
2017-01-03,5.9,5.97,5.73,5.97,5.97,1938600
2017-01-04,6.0,6.48,5.95,6.42,6.42,4280100
2017-01-05,6.26,6.43,6.16,6.37,6.37,3179800
2017-01-06,6.42,6.42,6.15,6.18,6.18,2543700
2017-01-09,6.22,6.27,5.98,5.98,5.98,2180300
2017-01-10,6.05,6.05,5.86,5.99,5.99,1603800
2017-01-11,6.1,6.21,5.65,5.75,5.75,3490500
2017-01-12,5.75,5.9,5.68,5.74,5.74,2155200
2017-01-13,5.79,5.98,5.74,5.82,5.82,1591500
2017-01-17,5.82,5.84,5.68,5.74,5.74,1427600
2017-01-18,5.74,5.94,5.73,5.85,5.85,1938700
2017-01-19,5.88,5.88,5.57,5.62,5.62,1922500
2017-01-20,5.65,5.74,5.45,5.46,5.46,1723600
2017-01-23,5.44,5.53,5.38,5.52,5.52,2040700
2017-01-24,5.54,5.68,5.46,5.64,5.64,1777800
2017-01-25,5.7,5.82,5.68,5.77,5.77,2967100
