Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,9.09,9.25,8.87,8.99,8.99,772100
2016-01-05,9.06,9.25,8.78,9.05,9.05,694600
2016-01-06,8.91,8.91,8.55,8.7,8.7,595300
2016-01-07,8.4,8.65,8.19,8.38,8.38,955200
2016-01-08,8.38,8.51,8.07,8.21,8.21,659400
2016-01-11,8.51,9.07,8.24,8.57,8.57,1368500
2016-01-12,8.65,9.25,8.62,9.1,9.1,1034300
2016-01-13,9.16,9.33,8.66,8.7,8.7,721200
2016-01-14,8.8,9.18,8.46,9.05,9.05,642400
2016-01-15,8.6,8.85,8.31,8.83,8.83,700800
2016-01-19,8.92,8.98,8.37,8.59,8.59,697300
2016-01-20,8.35,8.91,8.3,8.79,8.79,670200
2016-01-21,8.81,9.03,8.5,8.6,8.6,406200
2016-01-22,8.85,9.2,8.62,9.14,9.14,571600
2016-01-25,9.07,9.58,9.01,9.08,9.08,658700
2016-01-26,9.08,9.24,8.67,9.12,9.12,435200
2016-01-27,9.03,9.14,8.65,8.74,8.74,762600
2016-01-28,8.83,8.91,8.26,8.45,8.45,514800
2016-01-29,8.49,8.71,8.29,8.53,8.53,768400
2016-02-01,8.49,8.79,8.35,8.75,8.75,587200
2016-02-02,8.58,9.11,8.39,8.91,8.91,794700
2016-02-03,8.96,8.96,8.33,8.83,8.83,618700
2016-02-04,8.8,9.03,8.73,8.81,8.81,619800
2016-02-05,8.77,8.78,8.51,8.64,8.64,553200
2016-02-08,8.56,8.59,7.82,8.02,8.02,727700
2016-02-09,7.85,8.2,7.73,7.99,7.99,440000
2016-02-10,8.09,8.33,7.69,7.84,7.84,586400
2016-02-11,7.06,8.02,6.91,7.94,7.94,800500
2016-02-12,7.99,8.1,7.51,7.94,7.94,412500
2016-02-16,8.02,8.52,8.0,8.19,8.19,884800
2016-02-17,8.23,8.35,8.03,8.22,8.22,622800
2016-02-18,8.22,8.26,7.6,7.76,7.76,557300
2016-02-19,7.76,7.91,7.63,7.86,7.86,541800
2016-02-22,7.96,8.23,7.94,8.03,8.03,432700
2016-02-23,7.95,8.03,7.66,7.69,7.69,420300
2016-02-24,7.62,7.71,7.14,7.67,7.67,662700
2016-02-25,7.69,7.93,7.61,7.74,7.74,410200
2016-02-26,7.77,8.05,7.52,8.0,8.0,359300
