Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,11.34,11.34,10.21,10.53,10.53,440600
2016-01-05,10.52,10.64,10.05,10.2,10.2,234200
2016-01-06,10.07,10.07,9.4,9.61,9.61,376700
2016-01-07,9.4,9.4,8.79,8.97,8.97,282400
2016-01-08,9.03,9.559,8.8,8.86,8.86,226500
2016-01-11,8.92,8.935,8.1,8.62,8.62,231700
2016-01-12,8.55,9.09,8.15,8.88,8.88,212500
2016-01-13,8.9,9.13,8.265,8.4,8.4,144500
2016-01-14,8.31,8.85,7.98,8.64,8.64,167100
2016-01-15,8.36,8.71,8.04,8.67,8.67,210900
2016-01-19,8.59,8.899,8.08,8.4,8.4,247800
2016-01-20,8.22,8.44,7.81,8.18,8.18,312200
2016-01-21,8.2,8.5,7.91,8.26,8.26,162900
2016-01-22,8.51,8.82,8.31,8.57,8.57,205900
2016-01-25,8.55,8.95,8.5,8.67,8.67,159800
2016-01-26,8.82,8.9,8.47,8.8,8.8,96100
2016-01-27,8.83,9.02,8.6,8.76,8.76,143800
2016-01-28,8.99,9.03,8.4,8.6,8.6,173100
2016-01-29,8.66,9.23,8.25,9.15,9.15,153600
2016-02-01,9.12,9.2,8.65,8.97,8.97,84100
2016-02-02,8.81,8.94,8.51,8.87,8.87,111900
2016-02-03,9.03,9.04,8.48,8.91,8.91,93600
2016-02-04,8.95,9.57,8.86,9.2,9.2,74800
2016-02-05,9.19,9.62,9.08,9.15,9.15,108600
2016-02-08,9.0,9.0,7.85,8.89,8.89,126100
2016-02-09,8.7,8.7,8.32,8.65,8.65,115400
2016-02-10,8.69,8.7,7.78,7.82,7.82,164300
2016-02-11,7.65,7.78,6.8,7.49,7.49,175600
2016-02-12,7.68,8.31,6.831,7.89,7.89,311300
2016-02-16,8.01,8.185,7.75,7.97,7.97,180200
2016-02-17,8.0,8.12,7.49,8.05,8.05,132100
2016-02-18,8.08,8.2,7.68,7.75,7.75,68700
2016-02-19,7.75,8.095,7.6,7.97,7.97,82400
2016-02-22,8.01,8.5,7.678,8.34,8.34,350700
2016-02-23,8.34,8.42,7.81,7.97,7.97,67300
2016-02-24,7.95,8.03,7.57,7.85,7.85,82200
2016-02-25,7.94,8.14,7.72,8.11,8.11,53800
2016-02-26,8.24,8.69,8.09,8.37,8.37,78200
2016-02-29,8.36,8.57,8.15,8.3,8.3,126200
2016-03-01,8.33,8.41,8.11,8.41,8.41,89800
2016-03-02,8.39,8.9,7.905,8.69,8.69,107100
2016-03-03,8.65,8.87,7.888,8.69,8.69,66200
2016-03-04,8.7,9.25,8.577,9.02,9.02,165700
2016-03-07,8.9,9.58,8.65,9.24,9.24,88100
2016-03-08,9.34,9.38,8.77,8.77,8.77,91900
2016-03-09,9.61,9.61,8.45,8.79,8.79,192600
2016-03-10,8.85,9.06,8.28,8.6,8.6,590300
2016-03-11,8.75,8.95,8.49,8.69,8.69,161700
2016-03-14,8.75,9.2,8.74,8.93,8.93,61800
2016-03-15,8.95,8.95,8.423,8.56,8.56,100600
2016-03-16,8.5,8.8,8.32,8.54,8.54,85200
2016-03-17,8.51,8.58,8.3,8.52,8.52,48100
2016-03-18,8.58,9.3,8.4,9.15,9.15,541000
2016-03-21,9.15,9.73,9.15,9.27,9.27,113400
2016-03-22,9.2,9.43,9.08,9.24,9.24,43200
2016-03-23,9.16,9.2,8.58,8.73,8.73,63100
2016-03-24,8.69,9.13,8.56,8.74,8.74,19500
2016-03-28,8.8,8.99,8.375,8.71,8.71,28100
2016-03-29,8.73,9.11,8.21,8.89,8.89,82000
2016-03-30,9.01,9.3,8.92,9.16,9.16,128800
2016-03-31,9.13,9.54,8.955,9.07,9.07,94600
2016-04-01,8.99,9.47,8.99,9.42,9.42,52200
2016-04-04,9.4,9.71,9.25,9.26,9.26,113800
2016-04-05,9.22,9.48,8.89,9.02,9.02,59700
2016-04-06,9.01,9.548,8.97,9.34,9.34,127300
2016-04-07,9.27,9.33,9.01,9.23,9.23,160600
2016-04-08,9.33,9.33,8.63,8.82,8.82,131400
2016-04-11,8.93,8.93,8.48,8.66,8.66,55900
2016-04-12,8.65,8.87,8.44,8.75,8.75,52700
2016-04-13,8.79,9.17,8.62,8.98,8.98,64900
