Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,21.700001,21.92,19.32,21.15,21.15,50800
2016-01-05,21.08,21.08,19.76,20.440001000000002,20.440001000000002,28000
2016-01-06,20.0,21.0,19.42,20.950001,20.950001,30000
2016-01-07,20.459999,20.799999,18.799999,18.91,18.91,24400
2016-01-08,18.950001,20.43,18.83,18.83,18.83,22200
2016-01-11,18.889999,19.049999,15.29,16.51,16.51,58000
2016-01-12,16.67,17.6,15.92,16.360001,16.360001,55400
2016-01-13,16.35,16.389999,14.59,14.78,14.78,47500
2016-01-14,15.32,15.32,13.5,14.0,14.0,100300
2016-01-15,13.33,14.16,12.63,13.78,13.78,42000
2016-01-19,14.1,14.84,12.36,12.64,12.64,67900
2016-01-20,12.43,12.66,11.56,12.33,12.33,42200
2016-01-21,12.37,12.65,11.48,11.51,11.51,51200
2016-01-22,11.8,12.49,11.49,12.37,12.37,48800
2016-01-25,12.48,12.77,12.12,12.32,12.32,69900
2016-01-26,12.31,12.4,10.78,11.56,11.56,32700
2016-01-27,11.43,11.97,10.6,11.04,11.04,59500
2016-01-28,11.08,11.28,9.96,10.46,10.46,32900
2016-01-29,10.63,10.89,9.96,10.68,10.68,23000
2016-02-01,10.57,11.15,10.21,11.09,11.09,16700
2016-02-02,10.94,12.44,10.94,11.91,11.91,36000
2016-02-03,11.95,12.49,11.38,11.53,11.53,30100
2016-02-04,11.32,12.25,10.12,10.5,10.5,132000
2016-02-05,10.38,10.97,10.25,10.36,10.36,86400
2016-02-08,10.35,10.49,9.29,10.11,10.11,23300
2016-02-09,9.91,10.72,8.76,10.39,10.39,9100
2016-02-10,10.48,10.55,9.13,10.42,10.42,12800
2016-02-11,10.51,10.51,9.92,10.11,10.11,30500
2016-02-12,10.17,10.56,9.94,10.21,10.21,76100
2016-02-16,10.35,10.36,9.75,9.91,9.91,46900
2016-02-17,10.08,10.23,8.79,9.93,9.93,235700
2016-02-18,9.89,10.3,9.89,10.06,10.06,142800
2016-02-19,10.03,10.21,9.95,10.09,10.09,19000
2016-02-22,10.12,10.27,9.4,10.0,10.0,94100
2016-02-23,9.76,10.2,9.5,9.8,9.8,27400
2016-02-24,9.82,10.35,9.07,9.74,9.74,48200
2016-02-25,9.93,10.18,9.6,9.99,9.99,27800
2016-02-26,10.35,10.89,9.65,10.03,10.03,48500
2016-02-29,9.94,10.73,9.37,9.57,9.57,27500
2016-03-01,9.51,10.52,8.12,8.56,8.56,44100
2016-03-02,8.48,9.37,8.25,9.25,9.25,44900
2016-03-03,9.2,10.43,9.04,10.07,10.07,70900
2016-03-04,9.99,9.99,9.04,9.21,9.21,31800
2016-03-07,9.24,9.52,9.18,9.21,9.21,20300
2016-03-08,9.37,10.0,9.14,9.15,9.15,31400
2016-03-09,9.1,9.36,8.76,9.04,9.04,41000
2016-03-10,9.06,9.45,8.67,8.8,8.8,112300
2016-03-11,8.91,9.69,8.91,9.66,9.66,22300
2016-03-14,9.69,10.6,9.69,10.04,10.04,104600
2016-03-15,9.93,10.5,9.77,9.91,9.91,61700
2016-03-16,9.94,10.42,9.94,10.33,10.33,25000
2016-03-17,10.5,10.98,10.17,10.56,10.56,69400
2016-03-18,10.6,10.6,9.57,9.59,9.59,78700
2016-03-21,9.56,10.07,9.28,9.34,9.34,30600
2016-03-22,9.4,9.65,9.01,9.35,9.35,65900
2016-03-23,9.42,9.69,9.06,9.2,9.2,53300
2016-03-24,9.26,9.36,8.6,8.74,8.74,32400
2016-03-28,8.68,9.19,8.3,8.74,8.74,15300
2016-03-29,8.79,9.04,8.74,9.0,9.0,15200
2016-03-30,8.92,9.02,8.82,8.84,8.84,6000
2016-03-31,9.19,9.19,8.52,8.73,8.73,20400
2016-04-01,8.9,9.57,8.53,9.21,9.21,60900
2016-04-04,9.23,9.59,8.77,8.91,8.91,13800
2016-04-05,8.94,8.97,8.71,8.77,8.77,15000
2016-04-06,8.72,9.32,8.6,9.29,9.29,22100
2016-04-07,9.33,9.5,9.01,9.27,9.27,34100
2016-04-08,9.31,9.49,8.95,9.17,9.17,33400
2016-04-11,9.12,9.82,9.12,9.64,9.64,35400
2016-04-12,9.57,10.99,9.55,10.98,10.98,402200
2016-04-13,11.0,14.91,11.0,13.49,13.49,96500
2016-04-14,13.43,14.75,11.6,12.43,12.43,72900
2016-04-15,12.31,12.55,11.77,12.16,12.16,22700
2016-04-18,12.04,13.32,12.04,12.39,12.39,44600
2016-04-19,12.37,12.64,12.12,12.47,12.47,19500
2016-04-20,12.45,12.74,11.21,11.51,11.51,34900
2016-04-21,11.41,11.86,11.32,11.83,11.83,33900
2016-04-22,11.86,12.42,11.56,12.16,12.16,27200
2016-04-25,12.27,13.25,12.02,12.97,12.97,19600
2016-04-26,12.94,13.25,12.02,13.0,13.0,39900
2016-04-27,13.08,13.08,11.82,12.49,12.49,27100
2016-04-28,12.5,12.94,12.18,12.67,12.67,30500
2016-04-29,12.45,12.88,11.4,11.65,11.65,23800
2016-05-02,11.78,12.66,11.35,12.48,12.48,41000
2016-05-03,12.5,12.53,11.72,12.07,12.07,25000
2016-05-04,11.99,12.4,11.8,12.03,12.03,12400
2016-05-05,12.24,12.24,11.5,11.81,11.81,35800
2016-05-06,12.19,12.58,11.66,12.15,12.15,33300
2016-05-09,12.44,12.48,11.52,12.22,12.22,63900
2016-05-10,12.23,13.19,12.14,13.03,13.03,96500
2016-05-11,12.44,13.93,12.24,12.68,12.68,190200
2016-05-12,12.64,13.28,11.61,11.82,11.82,198700
2016-05-13,11.78,13.83,11.54,11.86,11.86,188000
2016-05-16,11.87,12.36,10.04,11.04,11.04,161500
2016-05-17,10.81,11.25,10.81,11.01,11.01,79300
2016-05-18,11.09,11.28,10.8,11.0,11.0,173600
2016-05-19,10.92,11.5,10.77,11.33,11.33,58100
2016-05-20,11.8,13.73,11.59,11.83,11.83,238800
2016-05-23,11.8,12.75,11.8,12.0,12.0,145200
2016-05-24,12.17,13.21,11.82,12.5,12.5,180500
2016-05-25,12.89,13.37,12.53,12.76,12.76,148300
2016-05-26,12.79,13.17,12.64,12.78,12.78,78500
2016-05-27,12.89,14.08,12.89,13.66,13.66,148900
2016-05-31,13.8,14.25,13.76,13.88,13.88,93800
2016-06-01,13.84,14.12,13.6,13.71,13.71,38000
2016-06-02,13.88,14.28,13.5,13.78,13.78,82100
2016-06-03,13.82,13.82,13.22,13.4,13.4,47600
2016-06-06,13.88,14.7,13.45,13.99,13.99,87600
2016-06-07,14.11,14.44,13.37,13.79,13.79,108200
2016-06-08,13.46,14.4,13.02,14.06,14.06,242800
2016-06-09,14.0,15.43,13.95,15.19,15.19,113500
2016-06-10,14.83,15.35,14.52,14.89,14.89,99000
2016-06-13,14.94,15.13,13.85,14.14,14.14,152500
2016-06-14,14.21,14.68,13.29,13.71,13.71,106700
2016-06-15,14.08,14.16,13.4,13.7,13.7,105900
2016-06-16,14.07,14.24,13.32,14.03,14.03,112700
2016-06-17,14.1,14.39,13.56,14.27,14.27,310800
2016-06-20,14.44,14.81,14.09,14.48,14.48,81500
2016-06-21,14.54,14.54,12.78,13.14,13.14,90900
2016-06-22,12.97,13.21,11.52,12.24,12.24,121600
2016-06-23,12.32,13.2,11.92,12.51,12.51,63100
2016-06-24,12.03,12.91,11.43,12.52,12.52,730100
2016-06-27,12.54,12.54,10.52,10.7,10.7,114300
2016-06-28,10.93,11.13,10.3,10.81,10.81,79300
2016-06-29,10.85,11.18,10.29,10.63,10.63,110300
2016-06-30,10.6,11.17,10.04,10.99,10.99,52600
2016-07-01,11.1,11.63,10.98,11.16,11.16,75100
2016-07-05,10.96,11.19,10.53,10.94,10.94,68700
2016-07-06,10.94,11.52,10.75,11.32,11.32,26100
2016-07-07,11.0,11.92,10.97,11.35,11.35,86000
2016-07-08,11.49,11.9,11.03,11.71,11.71,59900
2016-07-11,11.87,12.17,11.5,12.09,12.09,45200
2016-07-12,12.11,12.7,12.04,12.33,12.33,56300
2016-07-13,12.49,12.66,11.75,11.81,11.81,43800
2016-07-14,11.94,12.36,11.69,11.93,11.93,43900
2016-07-15,12.33,12.9,12.03,12.69,12.69,199100
2016-07-18,12.71,12.78,12.36,12.54,12.54,47600
2016-07-19,12.56,12.7,12.17,12.46,12.46,37700
2016-07-20,12.5,12.71,12.27,12.71,12.71,25600
2016-07-21,12.71,13.09,12.35,12.66,12.66,34000
2016-07-22,12.76,13.93,12.69,13.86,13.86,87600
2016-07-25,13.91,14.23,13.7,13.79,13.79,62800
2016-07-26,13.65,14.49,13.46,14.27,14.27,57400
2016-07-27,14.3,14.55,13.92,14.24,14.24,42100
2016-07-28,14.18,14.95,14.03,14.28,14.28,24800
2016-07-29,13.76,14.75,13.68,14.74,14.74,54500
