Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,14.34,14.6,13.42,13.65,13.65,425400
2016-01-05,13.71,13.98,13.03,13.07,13.07,184800
2016-01-06,12.95,13.11,12.22,12.39,12.39,311200
2016-01-07,12.1,12.38,11.22,11.38,11.38,455300
2016-01-08,11.43,11.67,10.94,10.96,10.96,264600
2016-01-11,10.75,10.91,10.01,10.65,10.65,484500
2016-01-12,10.77,11.23,10.53,10.84,10.84,507800
2016-01-13,10.86,10.89,10.11,10.35,10.35,676400
2016-01-14,10.38,11.07,9.82,10.88,10.88,398500
2016-01-15,10.38,10.6,10.0,10.51,10.51,424100
2016-01-19,10.84,11.0,9.68,9.86,9.86,491500
2016-01-20,9.59,10.18,9.02,10.09,10.09,430600
2016-01-21,10.18,10.67,9.98,10.04,10.04,245700
2016-01-22,10.22,10.96,10.22,10.94,10.94,292000
2016-01-25,10.85,11.2,10.49,10.57,10.57,141100
2016-01-26,10.71,10.88,10.15,10.64,10.64,179800
2016-01-27,10.55,10.71,9.69,9.75,9.75,187300
2016-01-28,9.98,9.98,9.1,9.34,9.34,291100
2016-01-29,9.4,9.85,9.05,9.48,9.48,261300
2016-02-01,9.5,9.95,8.9,9.24,9.24,182800
2016-02-02,9.08,9.34,8.76,8.91,8.91,269500
2016-02-03,8.96,9.25,8.44,8.85,8.85,199800
2016-02-04,8.78,9.68,8.52,8.9,8.9,262200
2016-02-05,8.85,9.07,8.49,8.49,8.49,240500
2016-02-08,8.22,8.5,7.9,8.41,8.41,342000
2016-02-09,8.23,8.71,8.04,8.48,8.48,336900
2016-02-10,8.54,9.25,8.49,9.11,9.11,433900
2016-02-11,8.84,9.77,8.84,9.52,9.52,430400
2016-02-12,9.71,9.85,9.13,9.79,9.79,390400
2016-02-16,9.94,10.5,9.83,10.24,10.24,213300
2016-02-17,10.36,10.78,10.05,10.45,10.45,295300
2016-02-18,10.46,10.83,10.12,10.17,10.17,210000
2016-02-19,10.07,10.63,10.0,10.5,10.5,171700
2016-02-22,10.39,10.87,10.21,10.3,10.3,165500
2016-02-23,10.26,10.58,9.81,9.93,9.93,290400
2016-02-24,9.76,10.38,9.61,10.27,10.27,226300
2016-02-25,10.28,10.75,10.25,10.41,10.41,198800
2016-02-26,10.46,10.68,10.25,10.57,10.57,175500
2016-02-29,10.54,10.68,10.27,10.6,10.6,173800
2016-03-01,10.7,10.9,10.27,10.88,10.88,196200
2016-03-02,10.81,11.02,10.25,10.86,10.86,208000
2016-03-03,10.8,11.0,10.44,10.47,10.47,372500
2016-03-04,10.47,10.58,10.13,10.17,10.17,212700
