learning_rate,num_steps,batch_size,lambd,val_dropout,cross_len,num_encode_1,n_code,MSE
0.001,1000,10,0.2,0.85,3,250,5,0.015317606
0.001,1500,8,0.2,0.8,4,250,5,0.016379791
0.001,1500,9,0.2,0.8,4,250,5,0.016693618
0.001,1500,10,0.2,0.8,4,250,5,0.015408382
0.001,1500,11,0.2,0.8,4,250,5,0.014844427
0.001,1500,12,0.2,0.8,4,250,5,0.014636708
0.001,1500,13,0.2,0.8,4,250,5,0.015307269
0.001,1500,14,0.2,0.8,4,250,5,0.015166816
0.001,1500,15,0.2,0.8,4,250,5,0.015350572
0.001,1500,16,0.2,0.8,4,250,5,0.015583874
0.001,1500,17,0.2,0.8,4,250,5,0.014989385
0.001,1500,18,0.2,0.8,4,250,5,0.014974273
0.001,1500,19,0.2,0.8,4,250,5,0.014770576
0.001,1500,20,0.2,0.8,4,250,5,0.015214899
0.001,1500,21,0.2,0.8,4,250,5,0.014755035
0.001,1500,22,0.2,0.8,4,250,5,0.014404986
0.001,1500,23,0.2,0.8,4,250,5,0.014300682
0.001,1500,24,0.2,0.8,4,250,5,0.014516582
0.001,1500,25,0.2,0.8,4,250,5,0.014147556
0.001,1500,26,0.2,0.8,4,250,5,0.014549825
0.001,1500,27,0.2,0.8,4,250,5,0.014658017
0.001,1500,28,0.2,0.8,4,250,5,0.014769363
0.001,1500,29,0.2,0.8,4,250,5,0.01571872
0.001,1500,30,0.2,0.8,4,250,5,0.015562478
0.0004,3000,25,0.12,0.85,4,250,5,0.013005466
0.0004,5000,25,0.12,0.85,3,250,5,0.011399476
0.0004,20000,25,0.12,0.85,3,250,5,0.011882365
0.0006,1000,10,0.2,0.85,4,250,5,0.01408296
0.0004,1000,10,0.2,0.85,4,250,5,0.01354178
0.0002,1000,10,0.2,0.85,4,250,5,0.01603417
0.0001,1000,10,0.2,0.85,4,250,5,0.01837431
0.00045,1000,10,0.2,0.85,4,250,5,0.01410418
0.00035,1000,10,0.2,0.85,4,250,5,0.0141247
0.00041,1000,10,0.2,0.85,4,250,5,0.01383883
0.00039,1000,10,0.2,0.85,4,250,5,0.01450793
0.0008,1000,10,0.2,0.85,4,250,5,0.014413911
0.0008,1000,10,0.22,0.8,4,250,5,0.015695518
0.0008,1000,10,0.22,0.85,4,250,5,0.014577828
0.0008,1000,10,0.25,0.85,4,250,5,0.014596086
0.0008,1000,10,0.18,0.85,4,250,5,0.014362091
0.0008,1000,10,0.16,0.85,4,250,5,0.014282474
0.0008,1000,10,0.14,0.85,4,250,5,0.013494762
0.0008,1000,10,0.12,0.85,4,250,5,0.013439458
0.0008,1000,10,0.1,0.85,4,250,5,0.014207577
0.0008,1000,10,0.1,0.87,4,250,5,0.012956956
0.0008,1000,10,0.12,0.91,4,250,5,0.013005252
0.0008,1000,10,0.12,0.89,4,250,5,0.013364713
